	author	comment
80	James G	ABBA is just fascinating. The way they play with instrumentation, tempo and harmonies is just so interesting. Call them dated or cheesy or whatever, ABBA are geniuses and their music is eternally relevant and NEVER boring.
81	Людмила Абакумова	I have been listening Your super song for so long time! Bravo!!!!!!!!!!!!!!
82	Mammy	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
83	Philip HENRY	All the songs of ABBA are masterpieces.
84	Dria Asuncion	Let me be honest here, most of the viral songs in tiktok are made from Abba which shows how good their music is even though it's already old, it's gold 🏆
85	il mondo della carciofa	I love the song❤️
86	Richard Sheldrake	ABBA THE BEST ❤
87	𝒫𝒶𝓃𝒹𝒶 𝓁ℴ𝓋𝑒𝓇	Lyrics: I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
88	Luka Kallio	My girlfriend: This song is old Me: Your mom is old and you still listen her
89	•° Сонька °•	Она вышла 46 лет назад... Мне она нравится, хотя мне всего 12 лет) То самая лучшая песня!
90	Jay •	This song is awesome and the first part always makes me laugh
91	i love Russia🇷🇺	Оо да как же я люблю деньги деньги деньги деньги
92	綾	唯一わかるのはお金お金言ってることだけだけどリズムがすっげぇ好き
93	Francisco Monsalve	El dinero no es todo en esta vida. .... pero calma los nervios.🙈
94	Hrvoje Sekulic	Gold era of music 2022. Still rock !!
95	Виталий Силаев	А мне нравится эта песня.
96	Shabbir Dossaji	Amazing how much younger people like this Evergreen music. ❤
97	Kamel	So sad .. I live in Syria .. at the most anhuman conditions .. no money money money.. it's always dark 😔😔
98	Real Sonic Hedgehog	every time I hear this song always clicks in my head with moneybags always teasing you with paying him with gems in Spyro games
99	Софья Ткачук	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
100	DEVI BHARATHI KALAALAYAM	ABBA inspire me at the age of 16 and now at the age of 60 also in the same manner. That's the magic of their lyrics,rendering,music, composition what not everything 🙏 Iam from INDIA,THE GREAT COUNTRY KNOWN FOR SPIRITUALITY,PEACE AND HARMONY,WHICH TREATS ENTIRE UNIVERSE AS ONE FAMILY, FORGIVENESS,CLASSICAL MUSIC AND SO ON...
101	Ari Grande	I know theyr singing about being poor, but i feel so rich when listen to this
102	x_x_Lex_x_x2	I Love This Song 😭👌
103	Weeping Angel	This song pretty much sums up my whole life in a nutshell. It’s like a mind reader.
104	srtjhsr zdfhk;gおあいdfはえ;	大好きな歌なので聴けてよかったです！ありがとうございます
105	Emma Ogden	Love this song
106	draggindrugin	"""I bet he wouldn't fancy me"" - singing a woman who married a real life Prince..."
107	Пожилая биллибоба	this music will live as long as we listen to it
108	Hanna Syguła	This is my time to manifest being the rich auntie who travels around the world and you see her once in a lifetime - with this song, I feel like one
109	PumpkinHead58	Damn I really do miss my childhood not as old as this song but my parents jammed out to it Also holy shit forgot how much makeup was required to be on camera back then
110	R0WAN	Abba = Life
111	robwarriors62	This is actually brilliant songwriting. The modulation at 2:25 isn't just a ham-fisted semitone/half-step lift that most songs do, it's actually set-up beautifully by the intro sequence chords that were established from the start - Am, *F7*, Dm7, E7, Am where the F7 is the V of the new key, Bb minor. Little connections like this go a long way to making your song musically cohesive.
112	Emilia Prosdocimo	Bellissima canzone❤
113	Anna-Frida	I’m so obsessed with their song. Hi from Estonia 🇪🇪🤍
114	Crystal Jin	this is a great song
115	Kroko Mez	This is so gold
116	M T	I lost my grandfather 3 days ago. This was his favourite song and favourite group... I wish I could have listened to this song with him
117	Joel	Sounds like it would fit perfectly in peaky blinders 👌😎
118	銘苅梓	A song that plays in your brain when you're short of money. I want to win one at the casino too
119	Päikeserebane	''I bet he wouldn't fancy me That's too bad..'' How could you not fall in love with such a beauty?
120	Chris Richardson	ABBA You All Have Great Songs and Some are my Favorite! Amazing Job You All ❤️❤️❤️🌹
121	Willem Klee	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same
122	Châu Dương	this is a masterpiece!
123	Mohammed ali	Still nostalgic 💖
124	Littlemissplushie	At the sholhaven coral festival in Australia I’m singing Waterloo money money money dancing queen and mamma Mia! I love ur songs!
125	Rubi Dechambre	My mom loved this song! ❤️ Rip
126	Peter Ivarsson	ABBA!! There's nothing more to say that their music is absolutely magical!!
127	I am bored (second channel)	This song is so nostalgic omg
128	Зульфия	Не повторяется никогда.
129	itzkovachan	—beautiful song..😍💋💋
130	Георгий Барбашов	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
131	Caleb	I would give anything to see them all perform together one last time. I LOVE ABBA SO MUCH ❤
132	^TBOU KOTNK^	Сегодня это было: Бабушка смотрела телик и в фильме это песня Я подошла и сказала что.. Это песня сейчас очень популярна! Она деду сказала:Вот наши года😂 Ещё она сказала И в наши года эта песня была популярна! Я в шоке 😅
133	Gio Gabunia	ABBA ❤❤❤
134	Jose Antonio Diaz B.	One of the few musical groups will be beyond time.
135	Freeroamer97	"this song is actually a really good break down of class analysis. ""I work all night, I work all day to pay the bills I have to pay"". what a beautiful description of capitalist society. It really highlights how the cost of living crisis is impacting us all. ""in a rich mans world"" I believe this line does a great job illustrating how the sexist class culture pressures women to work lower paying jobs such as secretaries. Ironic that anti feminists will turn around and say things like ""the gender pay gap only exits because woman work less hours and lower paying jobs"" while completely ignoring the reasons as to why they might be working those jobs and why they might feel societal pressure to work less hours."
136	Oliver Russell	ABBA is the best band of all time, they created hit after hit, won Eurovision and they inspired the pop genre today.
137	🌸puppy glitter🌸	I love this song☺️
138	Ольга	Спасибо 💐💐💐💐💐💐💐💐💐
139	FT Recording Studio	piano part lifts it to almost spiritual level yet it’s no discredit to it’s fore-bearers or it’s ability to discern each word
140	Inga Connelly	Loved ♥️🇺🇸♥️
141	Вячеслав Колотуша	I work all night, I work all day, to pay the bills I have to pay Ain't it sad? And still, there never seems to be a single penny left for me That's too bad In my dreams, I have a plan If I got me a wealthy man I wouldn't have to work at all I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world A-ha, ah All the things I could do If I had a little money It's a rich man's world A man like that is hard to find, but I can't get him off my mind Ain't it sad? And if he happens to be free, I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game My life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world A-ha, ah All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world A-ha, ah All the things I could do If I had a little money It's a rich man's world It's a rich man's world
142	Xyrille Dolorica	this sound is soo soooo rich idk why but the money, money, money is my favorite part
143	Mirjana BITTAR	Frida, une voix de velours. 😍😍❤❤
144	Apis Mellifera	Queria ser dessa época
145	Aino Bredtved	I was 7 years old when this was a hit -I'm 46 now and I still love it!
146	Bella Ziyazetdin	Костюмы их в этом клипе, просто топ! Вызывают восхищение, то как обыграли все — подачу и движение. Голоса у солисток шикарные, музыка великолепна. Очень люблю АББУ 🇸🇪❤️
147	Elene Darchia	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
148	Gewald Olive	It's my second favorite song 😊 thank you
149	Dios De Las Mierda	Best song ever
150	Клара Кудайбергенова	Какие таланты жили в прошлом веке.Они дарили своим пением и музыкой огромную радость, любовь, хорошее настроение всем. Вечная благодарность и поклон им. Обожаю их.
151	Derek Parker	Epic classic forever pure lasting excellence..annifrid agnetha bjorn & Benny... You created magic of gold forever.. Happy hugely deep magi cAl MUZIC that made the people come together. . MUZIC that is eternal and lasts forever 💜❤️💯🌻💕... ABBA rules OK 💗
152	Нурипаш Аулбекова	Наша молодость.
153	Selman Uzun	Broo I used to listen to this on the plane from the plane’s tv! Memories man…
154	Fabiana Di Lorenzo	Fantastic Band💖
155	IneedC	Such a catchy song. ABBA from the past and Jessie J in a modern time has already told us about rich man's world.
156	Cherry World	I remember my History teacher showing this after learning about hyperinflation in Germany during 1920s, wow it makes a lot more sense
157	Елены Светлана	Контраст с сюжетом одного фильма. Песня обалденная!!!
158	reinvest83	What a badass song.
159	SomeDudeOnline	“Tummy tummy tummy” “Must be hungry” “In a poor man’s world”
160	初音ミク༄♫︎	when i was 10 i didnt liked the song but now its in my head 24/7 and sing whispering it everywhere these songs i dindnt liked when i was a kid started being my fav
161	Ed Sr	"Неплохое исполнение. Даже, пусть, и ""ретро"", и , даже, спустя 50 лет - мир, в общем-то, не изменился, по своей сути, от слова ""вообще"""
162	Maurice Toboul	ho mon dieu que de souvenirs de jeunesse... période d'insouscience merci pour ce bon moment
163	iluvyou	2023 and its still good💸
164	Namjoonista 🌱🐨	Pasaran los años y seguira siendo la mejor música de los tiempos
165	I like Kirumi Tojo 🙃 🧹 	As you can see I have been listening to this song too many times and I’m now a money addict. My wallpaper is money, my channel is money, my whole photo gallery is money, I only play money games on roblox, I only download money games and loads more.
166	Victor Caballero	Buena Camcion y muy linda Frida !!!
167	Prandeep Kaur	i love abba
168	Сергей Чертков	Да деньги погубили людей, а большие деньги - больших людей... и АВВА в том числе! А песня одна из лучших!!!
169	gerard martin	great songs never fade
170	Lauren Oliver	I hope this music never dies ALSO I JEED THEIR CLOTHESSSS
171	noeleen byrne	The words are brilliant 🤩 💴 💰
172	NostalgiCrazy	"My sister and I always called this the ""Halloween song"" growing up lol. Don't the instruments and spooky vibe make anyone else think of jack-o-lanterns and skeletons?"
173	Ruzcel's TV Vlog's	So awesome 70's song im a year 2000 kid and i very appreciated this song so awesome Its kinda that early 2000's kid who loves to listening to this song that who not came from tiktok
174	charles roy	Literally addicted to ABBA ... WHAT a sweet mind blowing musical treat
175	YSYOUFM	Idk why but I think this music is from Italy
176	Deere08	Love you abba
177	☣𝐄𝐯𝐫𝐢𝐤𝐚☣	Обожаю припев
178	(•Keilah Paras•)	This song is so good
179	jeremy pearson	I still remember watching them win the Eurovision in 1974. They are cultural icons like the Beatles.
180	TiraGD	My mom hearing this song : money money money 💃💃💸💸
181	♣Itsb3gumc3okie♣	my teacher opened this song when we all were eating and I love this song so- JUST-✨
182	NWL Man	Frida looked wonderful here, this is her best look
183	♡𝕊𝕨𝕖𝕖𝕥_𝕤𝕙𝕒𝕣𝕜♡	I like this song!
184	Nerdonium	I work all night, I work all day, to pay the bills I have to pay Ain't it sad And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
185	elifberra ergün	My favorite song
186	サジレットオスカー	What is worth remembering is that when ABBA went big, they were pretty much hated by most Swedes since Sweden at that time was a socialist hell-hole where everything was supposed to be gray, brown or otherwise depressing. Sticking out, being great was not something that was encouraged and was frown upon. Which makes the music even greater.
187	Дмитрий Алхазов	Это песня моего детства.
188	Igor Bogdanov	"FROM A ""CHILD FOR HITLER"" TO A GERMAN PRINCESS - THE DIFFICULT FATE OF THE DARK ONE OF ABBA The life path of the lead singer of the Swedish pop group ABBA Anni-Frid Lingstad was not easy and thorny. Her mother, Norwegian Sunni Lyngstad, died when her daughter was only 2 years old. Father - German SS sergeant Alfred Haase, was in Norway as part of the occupation forces"
189	M SH	Они сумели написать и озвучить хорезматичные композиции которые обречены на вечную любовь слушателей многих поколений.Никогда не чувствуется их избыток в прослушивании и всегда о них исполнителях доброе чувство и мысли.
190	Anupama Mishra	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
191	Kingerly S. Holt	Im scare at how good this is and sort of accurate xD
192	Esra Özçelik	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
193	Srinath	Songs with expletive words get recognised and listened the most. This shouldn't retain for a long time. Try to listen to old classics like this one.
194	вася дмитриев	0% racism 0% bad words 0% insulting people 100% Talent and inspiration!
195	Sasha Diwan	Thank God my dad blasts these types of songs
196	Carlos Valenzuela	Hoooo!!!! Mi juventud
197	Tài Phạm	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
198	田硕 李	very classic song
199	Maria Li	Прекрасное было время, изящная мелодия, талант ...как будто побывала в своей молодости
200	Margarita Vidal cortes	Buen día ,está canción me pone a bailar y la escucho mucho , día y noche x2 días seguido y sin saber que está canción sirven para manifestar dinero me llegó dinero inesperado
201	Rekovul	imagine finding this video from a discord bot
202	Бахтияр Дилдабеков	ABBA-Money-Super❤
203	Vinayan P	Big fan of these song 😍 form Kerala.. ✌
204	Grace Johnson	Abba may be ONE of the greatest band of all times.
205	BigSnowyMan	my dad loved this song before he past away wehn i was 4
206	low quality jpeg of a lobster	"i searched up that one song that goes ""money talks"" but i found this and this is a bop!"
207	наргиза ильхомовна	Первая песня из-за которой я полюбила Аббу
208	Maniloff	Супер!
209	Atria Maritime Trading	Money Money Money 🤩🤩🤩🤑🤑🤑😍😍
210	lulaa	love them for this
211	Earth Yeni	Me jamming out to this song as I work a 10 hour shift for below minimum wage. AINT IT SADDDDD
212	Aleksei Jakuba	''I bet he wouldn't fancy me That's too bad..'' How could you not fall in love with such a beauty?
