	author	comment
496	Steve 2000	"[Teacher:] ""You! You! Yes, you! Stand still laddy!"" When we grew up and went to school There were certain teachers who would Hurt the children any way they could By pouring their derision Upon anything we did And exposing every weakness However carefully hidden by the kids But in the town it was well known When they got home at night, their fat and Psycopathic wives would thrash them Within inches of their lives We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall"
497	Nestor Elias Ramirez Jimenez	Yes in my life that clip it's very very good
498	Skull Games	2022 assistindo aqui do BRASIL /RS :)
499	DI	I’m gonna play this song during online classes
500	ᴷⁱⁿᵈˡʸ ᴴᵉˡᵖ ᴹᵉ ᴿᵉᵃᶜʰ ⁹⁹ᴷˢᵘᵇˢᶜʳⁱᵇᵉʳˢ ᵂⁱᵗʰ ᴺᵒ ⱽⁱᵈᵉᵒˢ	Dear parents, just because your child is smiling at their phone, doesn't mean they have boyfriend or girlfriend, they are just watching this masterpiece!!!
501	Starre Labelle	I love this, it never gets old! The message is even more relevant today than ever before!
502	Germán Pulvett	Uno de los mas grandes clásicos de la historia del rock.
503	Reginaldo Chagas	E com o show do Roger Waters no Brasil aprendemos que esta música não fala sobre construção civil.
504	James Mani	Una melodía increíble, estando en 2019 y seguir escuchándola, es algo increíble el Rock nunca muere
505	Marcelo 12162007	Canciones que ya son patrimonio de la humanidad. 💞👌
506	Richard Cranium	The world is a better place because of Pink Floyd's music.
507	Pedro Henrique Moura Marchetti	To vendo o Brasil mergulhar em uma Vibe de 1984 e The wall... deus nos ajude
508	Príncipe Erik OFC / Reviews / Unboxing	Música boa é assim, atravessa gerações...
509	Laureen Light	I remember when my father showed me this when i was a child, probably around 6, i was terrified. Now, i understand the lyrics, i even cried, understanding how much i relate to it.
510	simon	Day 343 listening to pink floyd everyday for 1 year
511	GEDION at Physics, Math, Electro-Mechanics & Optics	The movie Dumb and Dumber was made after this song! I was in my 20s' and wearing bellbottom when this song came out. I went to grad school to learn the area of a rectangle is (1/2bh)*2
512	simon	Day 276 listening to pink floyd everyday for 1 year
513	Fernando Montarroyos Ribeiro de Araujo	Que loucura 😧
514	Szepesi Béla	KÖSZI!!!
515	Aleksandr Gorbunov	"говорят же: ""довольствуйся тем, что имеешь""... так чё дергаться? привыкай ко всему, плыви по течению, подставляй щёки и лезь в мясорубку 🙂"
516	Mike Paris	Very good video
517	Brandy gonzales	I listen to this music because of my dad I'm only 37. N this is my shit
518	david meakin	When I heard this song way, way back all those years ago, it resonated with what I was experiencing at school and how I felt towards the system. About 10 years later I was engaged to a high school teacher, what a train wreck that relationship was, I would not compromise my beliefs for a relationship. I still feel the same 30 years later!
519	simon	Day 348 listening to pink floyd everyday for 1 year
520	Asmr Musica	Creada está canción para los que odian estudiar y prefieren ser nada en la vida.
521	Lise MUNIER	Souvenirs d'un bœuf musical en chantant cette chanson avec un groupe
522	leonard orser	Even way back then they knew the establishment was evil
523	simon	day 279 listening to pink floyd everyday for 1 year
524	simon	Day 324 listening to pink floyd everyday for 1 year
525	simon	Day 349 listening to pink floyd everyday for 1 year
526	José Espinoza	Música con sentido contestaría no como la seudomusica de ahora puros seudocante tes con letras si sentido pink floyd una enseñanza a la música de hoy acá en Chile hay un grupo se llama los jaivas progresivo folclórico muy bueno
527	simon	Day 334 listening to pink floyd everyday for 1 year
528	Геннадій Южаков	Супер'хлопці''вояки!!!!
529	simon	Day 347 listening to pink floyd everyday for 1 year
530	Sam Ballout	If. you are listing to this give yourself a 🤗 hug and take a deep breath. Do it
531	simon	day 296 listening to pink floyd everyday for 1 year
532	simon	day 278 listening to pink floyd everyday for 1 year
533	Kevin McGiffin	Better than the Stones and the Who etc.etc.etc. Thee greatest british band ever. ✌💖
534	Luisinho 007	top enjoying I remembered my youth
535	Elijah Tanner III	George Floyd!
536	Joel White	me like pink Floyd
537	Samuel Sotelo Díaz	We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall Wrong, do it again If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat? You! Yes, you behind the bikesheds, stand still laddy! Traducir al español We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall Wrong, do it again If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat? You! Yes, you behind the bikesheds, stand still laddy! Traducir al español We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall Wrong, do it again If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat? You! Yes, you behind the bikesheds, stand still laddy! Traducir al español
538	simon	day 286 listening to pink floyd everyday for 1 year.
539	simon	Day 336 listening to pink floyd everyday for 1 year
540	Ernani Welter	Que ano foi gravada essa música?
541	Legohead	I always sing this while my English class and maths. I actually got punishment from the teacher.
542	Dennis Latter 	I did Karaté from 8 yrs old .. yet i was still belted by the system.. getting my knuckles cracked by the cane stick.. yet all i was doing was self defence. Edit : I was meaning at School, not at the Dojo. Take care folks.
543	Adriano Ferreira	Tomara que assim que o comunismo acabe, igual ao final
544	simon	Day 342 listening to pink floyd everyday for 1 year
545	Sanjay Thapa	wow the best band best video
546	Pannatdr	I don't feel shame to watch this master piece today. Is anyone with me?
547	Daniel Dubbeldam	"no matter how often I see this video, i find it very amusing that the teacher quotes the ""poem"", which is actually a part of ""money"" (DSOTM), and calls it ""rubbish"" :D"
548	simon	Day 344 listening to pink floyd everyday for 1 year
549	Carlos Bravo	Muy critica para ese momento aunque no difire de actualidad. Educacion sin libertad
550	Erdem Genç	Sonsuzluğa götürüyor beni.
551	Luciano Navarro	4:57 dou el sueño de todos los kids
552	Eusébio Cafarelli	"Je ne connaissait pas ce clip. C'est un monument ! C'est sombre, désespérant et violent.. La dénonciation d'un système qui, fort heureusement, a disparu. A regarder avant ""Le cercle des Poètes disparues"".."
553	Maria Elenice	Good times i remember my sttudies😃🤪😄💋
554	Silvia Forte	Belllissssiiiimmmiii
555	simon	Day 346 listening to pink floyd everyday for 1 year
556	Marcia Soares	😍💖😍💖😍💖😍💖😍💖😍💖😍
557	Mz Liz	The poem the professor was reading aloud was the lyrics to the song ‘Money.’
558	Gloria Correa Alzate	Megusta.esta.cancion.otro.ladrillo.en.la.pared.pink.floyd
559	LegoEater0	I'm so glad I grew up on this music!
560	Angela Cavon	"When I first watched the video in this song I thought it was so weird....but now....I get it...everyday I dream of burning the school to the ground. I've never been to a school MORE strict MORE disciplined than my school. I feel like I'm in a prison even the school gate looks like a prison gate with police men guarding it (it's not police men lol their costumes just remind me of police men). The counselors don't even give me any advice when it comes to bullying. I speak my heart out and tell them what's happening and they tell me, ""Ok what do you think you can do about it?"" HOW SHOULD I KNOW THAT""S WHY I""M TELLING YOU ABOUT IT! 😑I can't wear to much jewelry, I can't wear to much makeup, I can't listen to music during any breaks or study hall, it was fun when people weren't breaking the rules with phones I could just block out my bullies with music and chill. Now I just draw and put my feelings on the page and block them out that way then they rip it off the desk. It's better than nothing though. It's like they're taking all these people who are just different and weird from all around the world and turning them into normal people they're all smiling robots. Normal is boring. They tell me to be myself but I can't be myself because I'm different not normal. 💔"
561	Luiz Alexandrino	We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all, it's just another brick in the wall All in all, you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teacher, leave us kids alone All in all, you're just another brick in the wall All in all, you're just another brick in the wall If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat? You! Yes, you behind the bike stands Stand still, laddy!
562	Hair Glowing Kyle	They just don't make songs like these anymore
563	Adam Mcpherson	❤️
564	Jose Flavio Morais	Como pode um vídeo clipe que tem 45 anos ,ser tão atual!
565	João Silva silva	MEDO DE QUÊ NÃO SE PODE MORRER DUAS VEZES
566	don wafer diaz aguirrre	God safe the queen
567	Iúripite Pité	😢❤
568	Jude Rider	Our CHOICE WE LEARN GODS WILL 🙏
569	Rajiya Sultana	Doc:you have 5 mins left to live Me:I want to listen to pink floyd the wall Doc:but the song is 6 mins long God:I'll allow it
570	Валерия Середенко	Лучшего не придумать!
571	Colin Jones	Education: devised by the few for the many
572	Angela Colburn	By the way I meant the song was sublime .The teachers were obnoxious .Best moments when a teacher was thrown downstairs and one was thrashed outside of school.DELICOUS.
573	Sophia johnson	The kids singing in unison always scared me
574	fabio c	all the dislikes come from bad teachers
575	А вот и Я !!!	Ебать - копать , я нашёл тебя, моё музло ! В ем спасибо! Теперь могу здохнуть спокойно. 👍
576	Top Dawg	"This maze it just keeps going on and on there aren't any openings or anything I'll never get to the castle in time. Life's like an hour glass glued to the table like cars on a table. It's 2am the fear is gone I'm waiting ""'""'""'"
577	Salvatore Familari	Siamo tutti nati dall'amore e per l'amore dobbiamo vivere tutti e liberi d'animo
578	sbh123yt	All teachers in the world must see it at least once a year
579	TVE	I always have chills when listening to this masterpiecie. Do you?
580	Alex	Phowaar bass boosted pink floyd is unreal
581	Leonardo Nardi	C A P O L A V O R O A S S O L U T O
582	Ariel Quintana	1980 en Sudáfrica, la canción fue adoptada como himno de protesta entre los estudiantes negros que protestaban contra el apartheid que en ese entonces hacía estragos en las escuelas del país, por lo que fue prohibida oficialmente por el gobierno de Sudáfrica , por motivo de incitar a los jóvenes a realizar disturbios. ► there will be fire -
583	Anold Toulon	That was radical when it came out
584	Jonas Silva	May 28 2021, let's see how tomany people are listening to this masterpiece of the Pink Floyd
585	Cm9b5	🤙Way ahead of their time……..
586	Brenda Sanchez	This song is for certain laws that are banning books in the classroom !
587	MARANATHA Jerusalem	👍😎👍
588	Fabio Gori	Mi ricordano la discoteca.
589	Julio Esquivel	My neighbors love this song so much they threw a brick at my window so they can hear it better.
590	DORVAL RIVERO	todo muy lindo kien los eschuchan AMIGOS
591	Toni e Gih	Na minha opinião o sistema de educação de antigamente, não é como agora! Antigamente a educação era mais rígida e os alunos aprendiam melhor o conteúdo, na época do meu pai coisas que ele aprendeu na oitava série, eu estou aprendendo no segundo ano do ensino médio! De uns anos pra cá veio mudando o sistema de ensino e sofrendo alguns impactos tanto positivo quanto negativo.
592	Mike Senior	"""Hey Teacher Leave Them Kids Alone."" More so today vs. when it was recorded."
593	Sandra Pisu - Jocic	It gives one way and not multi way. This is schuetzophren and can this live. I think no.
594	Letícia Arruda	MÚSICA FODA DO CARALHO 🇧🇷🇧🇷🇧🇷🇧🇷
595	ٴ	Those masks the kids are wearing are creepy...
596	Григорий Рябов	И школы были в 90-х годах такими Чужими!
597	Richard Bentley	Everyone get all the education you can, my tough teaching was my best, school teachers are awesome 👍
598	Rafael Jamba	Gooood
599	J D	when my older brother graduated, they took this as there class song. so he showed this video to me....boy I didn´t sleep for a whole week
600	Jose fredy Soto Mansilla	clásicos de ayer y siempre.
601	Doc Brown	man I remember the first time I saw this when I was a kid it blew my mind and changed me forever. These guys are on a whole other level of genius. I listened to one of Jimi Hendrix's last interviews and he was talking about how he enjoyed listening to pink floyd and was planning to be independent and making music similar to Floyd. To imagine what he would have made brakes my heart.
602	ChefGiovanni	One of the best songs ever made .
603	AD CHAVES	Show de bola essa música. Não me canso de escutar. Quem concorda da um positivo.
604	Casi	It's crazy how many people come back to this everyday. This song is legendary.
605	kakalaka	20 years later, I finally get the real meaning of these lyrics, just perfect for these sick nonsense times
606	Mario F.	Una obra maestra del rock de esta legendaria banda Británica !!
607	Человек Земной	Группа и музыка на века ! Класс!!!! Не теряет своей актуальности , в современном мире насилия .
608	Victor Lima	2016 e essa música ainda não perdeu a essência
609	CaaNaaDeR AerO	FANTASTIC MUSIC!!!!!!! PINK FLOYD BEST!!!
610	Poliana Szeskoski	Não ouvia Pink Floyd, muito menos sabia quem era Roger Walters, mas dps do belissimo ato em prol da democracia que o mesmo prestou em seu show aqui no Brasil passei a ouvir suas músicas e só consigo me perguntar: como alguém é fã de um cara com letras que criticam fortemente o fascismo e mesmo assim flerta com o fascismo?
611	The Pict	A milestone in British music, this track went worldwide and resonated through the decades.
612	profeta letters	Mais do que massa. Maravilhoso. Ouço isso desde menino. E olha q já estou com 64..e toda vez q ouço me sinto menino de novo.SAUDADES
613	Mi Ka	Lyrics: When we grew up and went to school There were certain teachers who would Hurt the children any way they could By pouring their derision Upon anything we did Exposing every weakness However carefully hidden by the kids But in the town it was well known When they got home at night, their fat and Psychopathic wives would thrash them Within inches of their lives We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey! Teacher! Leave them kids alone! All in all, it's just another brick in the wall All in all, you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey! Teacher! Leave us kids alone! All in all, you're just another brick in the wall All in all, you're just another brick in the wall Wrong, do it again! Wrong, do it again! If you don't eat your meat, you can't have any pudding! (Wrong, do it again!) How can you have any pudding if you don't eat your meat? (Wrong, do it again!) You! Yes! You behind the bike sheds! Stand still, laddie! (If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?) (You! Yes! You behind the bike sheds! Stand still, laddie!)
614	Евгений Белых	Какой же это шедевр!!! Супер.
615	Heba Khider Sh.	My Nightmare since I was a kid. This song still gives me goosebumps whenever I hear it. The meat grinder scene plays in my head then.
616	Rex. Jamín 🎸🦖	Pink Floyd. Simplemente una gran banda 🎸
617	Chill Beatz	Amazing how relevant this song is in our current state of our society
618	Yogesh	"My friends band sang this masterpiece in college culturals function in front of all the faculty.. he shouted looking at one of the most annoying professor "" He teacher leave us kids alone"" one of the most badass moments I've witnessed 🔥"
619	C! Metal!	Fuck education and thought control!!!! Only Rock n roll🔥🔥🔥🔥
620	Liza	lmao imagine building a brick wall with a few bricks missing. i guess it portrayed the times of the 80's? but listening to this song now, the message behind this song is seems so.. ignorant the modern education system has pushed humans to live in the best of times. in every measurable way, we are better off now as a species.
621	Ricardo Martinez	The Wall is a movie that changed my life. It is a movie not just against authoritarianism within the school system/s, everywhere. But it is also a movie against Nazism, sorry, folks, Nazism as in Ukraine today.
622	Muhammedemin KOÇ	yılan hikayesi 32. bölümde çalan o meşhur şarkı. ^__^
623	Vitaliy Balyasniy	Це класика сучасного рока.
624	Agata Capozzi	Stupendamente bella,cara amica mi manca tutto di te,la quotidianità la musica non so come dirtelo ti voglio bene,con il ❤️
625	Dababy garcia davila	If you listen this Song you will be eternal
626	DA CARLY	The song explains the entire school system in 6:00 minutes
627	David Wort	I was at school, about 8 years old when this was in the charts, forever stuck in my head, the album was dark but one of my favourites songs of any genre of any time, maybe second only to comfortably numb.
628	Олександр Приймак	Кайф,,, супер,,,,,,,
629	Mária Seres	Igazi klasszikus
630	Jacek Jola	Szkoda ze mialem wtedy 20 lat
631	simon	Day 328 listening to pink floyd everyday for 1 year
632	Frank Baumann	Pink Floyd ?😘😘
633	Christinemhawn Hawn	😘💖😍🌹🎸😜
634	REady Player FUN	"""How can eat you pudding if you cant eat you meat"",just realised its Ted movie referance"
635	𝕿𝖔𝖝𝖎𝖈𒆜 ༻	my dad taught me to listen to normal songs thank you em
636	Rafael Monteiro	A todos os brasileiros apreciadores de uma boa musica deixem seu like
637	jotaro kujo	#anotherbrickinthewall
638	Acts of Kindness	Wow… even today… wow 😮
639	DarkOrchard	So now our world is so backwards, the very man we’ve grown to oppose and despise is the one we’re listening to for truth and safety???? Wtf?!
640	Stefania Ravaioni	"Quello che scrivo ...."" Non è il cosiddetto leone da tastiera "" . Quello che ho scritto e che ancora scrivo . ... Parlo di verità , onestà. La frase ,il pensiero ,. "" Hai costruito la tua felicità ,,,,consapevole della disgrazia cui mi hai sottoposto ..solo per un vello tuo ... Di donna Riscattata dalle tue vicissitudini di TUO proprio cammino in questa vita .... Adesso volgendo lo sguardo. Indietro ...cerco di capire .,.di vedere ..."
641	Jonathan Marois	Hey, teacher, _LEAVE THEM KIDS ALONE!_
642	Paul Smithers	Tony Mescall would be disappointed in this way of teaching, Tony is the best teacher ever.
643	Maria Helena	Show esta musica
644	Mitja Vertot	Pink Floyd...
645	Szepesi Béla	köszi!!!
646	William Maurer	"""... leave those kids alone..."""
647	ANNA MAE Devlin	Every day I see it is TRUE!
648	Carina cHaOsFrEaK	Das beste überhaupt.. Danke Papa.. In die wiege gelegt
649	johnsmiff	This is likely going to be the most played song in the next 5 years as I see the world events.
650	hector Juan Domingo Aimonetti	tube el gusto y el Honor de proyectar esa pelicula...pero el gobierno militar de ese entonces quito varios rollos de ella...Hector desde Inriville en la Pcia de Cordoba Rca Argentina..........
651	Vicente Martinez	Pa j lo gusten de este clasico
652	santiago perez	👑👑👑👑👑👑👑👑👑👑👑👑
653	Messenger	Who doesn't feel like just another brick in the wall? Really, I'm asking you guys...
654	MALDUN1	1960's secondary modern anyone ? Fond memories of being 'caned' with a cricket bat
655	Дмитрий Матьянов	Обесчеловечивание и стандартизация образования. И детский бунт против этого. Пинк Флоид всегда поднимали социальные темы, поэтому их музыка не устаревает.
656	Dee Doyle	Yeh well, woke up my teens getting through A Levels ... you have ONE shot I told them! Hang in there.
657	John paul Olgado fuentes	ESTE TEMA MUSIC ES MI FAVORITO POR DÉCADAS ( IT'S TRUE OWNER COMPACT DISC MUSIC OFFICIAL ( JOHN PAUL THE MECHANIC ( MILITARY SOLDIERS , POLICE ) AMERICAN OFFICIAL ( JOHN PAUL THE OWNER TRUE OFFICIAL ( FUENTES ) THE TIME TUNNEL THE VOYARGE THE HISTORY 🗡🏹⚔⚔⚔⚔🤺🛡⚔🏹🎱♾ THE HISTORY OFFICIAL POR DÉCADAS
658	davo86	This song was so ahead of its time! A very relevant and timeless song where the world is descending more into totalitarianism and straight out of George Orwell's book 1984.
659	Βασίλειος Κανιατσος	100 χρόνια μπροστά...
660	Lola	4:23 o que está acontecendo com a CCB agora , colapso e o ancião na fogueira
661	Vedat Günay	LEGEND MUSİCA GRUP. PİNK FLOYD.
662	Jacek Jola	Dzieki ze byli
663	Davey M	This band was too real. I know the punk bands did the same thing whereby they were expressing a message of misery and politics, but Pink Floyd did it before them...with class.
664	Francis Saldanha	back benches ultimate number evergreen thru ages
665	Nath Minouche	👍
666	Lourdes Nievas	USTEDES ERAN NUESTROS ÍDOLOS ¿ NOS EQUIVOCAMOS????????
667	fredperry65	exsacly this happend to me as a child, and thats why i dident or just sinply refused to learn
668	Rudy Wilson	"on acid we used to yell:LET THEM BABIES BE!!!"""
669	mrneutral	What a fucking tune.
670	Mon petit grain de sel	28.1.2023~🎧Il faut des Poètes, beaucoup de Poètes dans ce monde de brutes…🎼🎶🎶🎶🎸🎥💎💎💎🎬…🌹🇫🇷
671	Robertcotton	anger is an energy.....I was the kid in the school who promoted slow hand claps at assembly listening to this wearing my leather lacket..I was expelleled from school at age 15 never given a chance to take my exams,,,
672	Виктор Савельев	Боюсь в школу сына отправлять🙄😉
673	jotaro kujo	#anotherbrickinthewall
674	Piera Gargioni	Musiche. Stupende.
675	Edmond Saraci	Super
676	Георгий Аксенов	Этот учитель и персонаж из Больших гонок, некий Эзикая ( сотрудник великого Лесли) напоминают мне тупого Болтона из, знаете какой администрации....
677	Norron Lee	Great video..
678	Jesús550	The MASK Is SCARY😱
679	Teymur Aliyev	goy bizdende olsun AZE
680	Mariana Zheng	Pink Floyd0r
681	graciela	Quien lo escucha en 2023?
682	Mark Irish	Fuk this is powerful music especially if you grew up during the 70s and 80s
683	Miguel Garcia	Gracias x todo
684	Anand Persad	Perfect done 15 yrs
685	Лев Федоренко	супер
686	h w	no kids were harmed in the making of this video
687	one	БЕСИТ! Музыка, (music,) должна быть вне политики! Какого ХУторЯнина? Ты музыкант эпохи! Тебя любят во всём мире! Пис оф пис. Зачем открыто показывать нелюбовь к своим поклонникам из страны которую все не любят? Если они как все, то жаль(
688	Pirate Smith	We don't need no thought control
689	Presley Thompson	Floyd no better! 1973 in Korea in combat zone, artillery flying overhead, small arms fire incoming and jumping into bunkers! Can't get no better than that! If you get that then you were in a combat zone! Get sum !!! D
690	Dejanil Ferreira	Ko👍🎼🎼🎼🎙❤💙❤
691	Александр Переверзев	Этот клип о современном мире ...Сибирь СССР...
692	jotaro kujo	#anotherbrickinthewall
693	fametypebeat	1:30 why this sound like a modern rap lol
694	Alejandro Sánchez	Hasn't anyone noticed the kid's poem are part of the lyrics from the song 'Money'?
695	Frank Baumann	😘😘😘
696	Zack Zallie	People should give The Wall a listen! Probably one of the greatest albums ever!
697	Richard Bentley	School is a good thing 👍
698	Nicola Vedovato	La mia gioventù i miei 18 anni
699	narguisse love	Grand film d'anticipation ...oligarchie mondiale nous veut du bien ?
700	JamesJohannes	And yet they all went into the city😁
701	David Turmaine	But at night we made them scream
702	miguel seoane	un precision top
703	Fortnite Plug	How many legends listening in 2022
704	Aceli Galindo	Esa era la realidad de los dizque educadores dl escuelas ami me tocó maestros que golpeaban que bno q yano esta permitido bn q en las escuelas nunca se acabará del tdo el maltrato entre alumnos
705	tiziana bottari	❤❤❤❤ 0:18
706	Daniel Čech	Evženovcům, hluboce se omlouvám Vadim dušičkám a zejména vaší celistvosti... Omlouvám za vás vaše příčiny na různé ať jakékoliv cizí dušičky a celistvosti omlouvám se omlouvám se za ty co vám ublizivali odpostim vám i ostatním že jména vaším navzájem celistvosti a dušičkám. Odpostim za vás vaším vlastním dušičkám i celistvosti. Odpostím cizím útokům na vaši celistvisti i dušičkám. Vždy obnovovací automaticky bod.... Přeji vám že srdíčka všechno. Vždyť časem máte úplně všechno. Odpouštím cizím zaviněním a jejích celistvosti i dušičkám i odpostím za ně jejích vlastní ublížení na jejích celistvisti a dušičkám.... I sám sobě odpostím své celistvisti i své dušičce odpostím všem jejich celistvosti i dušičce hluboce se omlouvají ostatní na lámání dvojnásobné vůči mé osobě odpostim jim a jejích celistvisti i dušičkám odpostim sám sobě ublížení cizích celistvosti u dušičkám vlastní vinku. Odpostím ostatním jejích vlastní celistvosti i dušičce... Děkuji z celého srdíčka.
707	Robert Barclay	4/2022 I remember see the wall when I was in hs....
708	Gianluca Casadei	Poi fu inventata la storia… GRAZIE, ma io ero presente 🙋‍♂️
709	françoise robert-bernateau	Une grosse partie de ma vie avec mon premier mari love
710	Gle kup	🇦🇷💯🇦🇷
711	SIBIRIAK	never liked Pink Floyd, never hated. never felt anything.
712	Dave H	i think this video is really true about the school system
713	conrad andersen	Magik...4ever...ciao Viking
714	CharlydelPosky	Its interesting listen this song at 1.5 speed
715	Seeker of BS	This is sooo relevant now more than ever...
716	Gary Napper	Smoke my first joint 2 this song 45 years ago man what a trip lol
717	Wander Khar	Pink Floyd. Sempre sucesso .Alguém curtindo aí?
718	Tati Tati	At finally, we give for our children adulation..
719	Kaya Bey	It’s 2030 and people still watching this
720	Alma Rosa	no me la esperaba
721	Henry Hui	Who is here after Roger Waters recent interview at the CNN?
722	Hossein Shams	این اهنگ برای همیشه هستش،،،ابدی ،،
723	Rita Deterding	Diese 👍👍👍 Ballade ist AKTUELLER und kostbarer denn je !!!
724	Eric west	thats all we are another brick in the wall,
725	Lealdade & Perseverança	🇧🇷
726	bic bir bac ichkeri kenti	Now if youve come this far you might aswell listen to shine on
727	Marina Tinoco Ortiz	I love pynk floy
728	Павло Разкевич	Це круть на віки!!!
729	Colin Fulton	As a result of this video 500,000 British people claim to have been in the video. Seriously teaching High School English I would play this and Alice Coopers Schools Out for the students and have them right an essay on what they thought they were about.
730	Ирина Куприщенко	Ну ,очень агрессивно
731	Toufik Siouane	Top
732	Chivania	This music is reminds me the education system in Turkey
733	Tom Cat	It reminds me of the uprising in these days' IRAN. #MahsaAmini
734	Keity Lynx	Esta es la canción q estuve buscando por 10 años, mi mamá la escuchaba 😎🤙
735	José Paulino García Perez	🌷
736	Maurizio Paolicchi	Bravi
737	ROSS	The elites weren't happy with this song
738	Maria Pawlicka	Dziekuje , ze jeszcze zyjecie
739	William Glen	The time has come……😜🤓
740	h aziz	"1979, puis vinrent les années 80 ,dernière années d'insouciances ,d'espoir ! Maintenant le monde ,la société par en couilles .Qui aurait pu prévoir que le future ( à part ,peut etre les punks )les années 2000 seraient devenu ce qu'elles sont ? Le 21 siecle ,sera spirituelle ,ou ne sera pas ,avait dit l'autre ! A mon avis on est partit pour : "" ne sera plus ""."
741	Blue CrystaL	2022. Pray for Ukraine,pray for the world
742	Sylvia Jayet	Le top
743	Sylvain Savard	Super bon
744	Richard Bowman	Can rélate to this.song teachers did not like you. Asking questions this brings me back to the sixties such head in the sand thank you pink Floyd
745	Astrofrank	Try also the version from CityRocks: https://www.youtube.com/watch?v=lWf-xWv6WIs
746	Lançamento filmes	Diga não ao controle, o sistema quer controlar vc
747	Alex Buble	Господи, что бы они не натворили
748	Paulo Oliveira	E nois na fita
749	Ольга Макерман	В ИНКУБАТОРЕ=ЗЕМЛЯ ЧЕЛОВЕК-ЭТО ЧЕЛО ВЫДАННОЕ НА ВЕК И ЧЕЛОВЕК-ЭТО ВЕЧНЫЙ УЧЕНИК !!!
750	володимир козиренко	Пинк этот шедевр слушал район новой Зеландии
751	Mr. Reach	"In 1980 this song was banned in South Africa. Life imitated art in early 1980 when South African school children, fed up with an inferior apartheid-era education system, took to chanting the lyrics of Pink Floyd's ""Another Brick in the Wall (Part II)."" The song, with its memorable line stating, ""We don't need no education,"" had held the top spot on the local charts for almost three months, a total of seven weeks longer than it did in America. Just a cool little tip for those who don't know :)"
752	Elizabeth Bass	Actually the one that goals like hey Teacher leave those kids alone
753	Richard Bentley	I love school
754	Eric Armstrong	This is how it is in schools and colleges in America.
755	Elizabeth Bass	This was at my sisters school
756	Female Lust45	"Brilliant video, Pink Floyd are amazing. There are very few days I do not go by without listening to at least one or two songs. Got myself back into listening to Pink Floyd Led Zep and Fleetwood Mac, Motorhead found some vinyl. Music in the morning makes for a great start to a day. ""How can you have your pudding if you don't EAT your meat"""
757	José Santos	A GERAÇÃO RASCA
758	Sylvie27500	🎧🎧🎧
759	Jacqueline Fox	The kids. Quinell. 🎤🎼🎸🦊
760	victor troshka	Oooh poems...
761	Chocolate Moose	I hope these children are proud of themselves staring in one of the greatest songs/videos of all time..
762	fuck u tube. Patriot!	Teacher's Leave those KID'S ALONE!!!!
763	Хикмет Сеитягьяев	Подавление личности приводит к разрушению стены.
764	Airton Moreira	NO FINAL, É SÓ UM TIJOLO NO MURO.
765	Cilene Sacramento	Top
766	Loisiene Moreira	Em plena quarentena e eu ouvindo essa música, só porque amo pra caralho ❤️❤️❤️
767	FuckAllofYou	Really good song but the talking just ruins everything about the music video. I hate when people talk in music videos it is ruins the song
768	Joao Henrique De Azevedo	Pobres formatados. O sistema precisa ser retroalimentado.
769	Fils de Jean Noir	1:29 And HIT THA ROAD and DON'T YOU COME BACK! 👺
770	corcovits van de veer	clip is mooi heftig en geweldig zo als het is. 2022.xxx.
771	Ishor Sherchan	Trust me this song will never die
772	🌽 corn 🌽	This makes me want to put the dynamite in my school😈
773	Alexander Rafer	#One of P /F song
