	author	comment
335	anjobranco	"Pois é dessa época que a conheci! Como tantas outras lindas!! Porém ela me foi sempre especial Com meu rádio na sala do trabalho não saia para o almoço antes de ouvi-la! ""Creep"" raríssimas vezes não se pontuava entre as mais ouvidas! Que pena! As pérolas de décadas atrás não se repetem mais hoje! Brasilia/ Brasil"
336	Cath Murphy	♥️♥️♥️♥️♥️
337	Martín Del Moral	Gran canción para enpezar el día con mucho ánimo porque me trae muy buenos recuerdos muchos saludos especiales para alguien muy especial 😇🤟👍🐟🎸🎵🎶🎵🎶👉🌛🌹❤️👌🌞🌈👍🐟🎸🤟😇🤗👌👍🐟
338	David Platten	Listen to this drummer……….this is how you keep time.
339	내맴대로사는게행복_남의뜻에휘둘리지않고	Yesterday, I made Creep cover.. Could you plz take a look at it? keyword for searching - Creep 미스터션샤인
340	ชิน ศรีมาก	I love how he goes all in on the owners and chefs but always stays respectful towards the waiters
341	kimkwangoh	2
342	Xavier Xavier	Song sounds killer in my truck 😊
343	Alex Spark	youtube think's i'm a millennial -_- then again this stuff slaps so i'm not complaining.
344	No	shits fantastic fr
345	bucketsofglory	Check out the subway version.
346	ніка мяв	love this video so muchhh
347	Cliff Michael Cruz Alberca	This song is made in what year i was born in it contains in my age
348	Penny Laughlin	He’s so beautiful when he sings.
349	Connie j Soule	So fucking special so fucking awesome!!!!!!!
350	ilay	Stp’s creep is better
351	Mauro Vegan 🐮	El primer comentario del 2023 de este vídeo tiene que ser épico: *Radiohead For Life*
