	author	comment
89	JAMES SHUTA	Actually boy named Sue
90	Gosia W	😢
91	Nonexistanthuman	Truly talented songwriting skills from Trent Reznor
92	pankrockeiro	Legenda em português?
93	Guadalupe Rubio flores	Well a Guess wey sing whar wey been hiding most of our luces whes shows closet it Pops up
94	Ester Reis	Jhonny Cash é maravilhoso 👏😍
95	Neil Jessop	What a great song, very moving 😢
96	IAmManWithTheGun	He died just one year after performing this cover…
97	Dionusia Kiata	❤❤💩💩☘️
98	Koheleth	I know he did A LOT of dope, but I just don't think that accounts for how poorly he aged. People of his generation surely aged poorly. I mean the man only live to be 71, would've been about 70 when he filmed this, but looked and seemed every bit of 90. Today 70-year-olds certainly don't look young, but they didn't age that badly in comparison. And today you'll find many people in their 60s who look pretty damned good. And I'm talking rock stars who partied hard like Nikki Sixx and Tommy Lee, Tommy Shaw, etc. There's a quite a few who have aged really well. But people do seem to age better, not everyone, but in general. I mean, that's why you have Tom Brady playing in the NFL at 45 and other athletes--fighters even--competing professionally into their 40s. I remember when Joe Montana seemed like an old man when he went to Kansas City in his 30s. Lot of genetic luck involved for sure, but it's important to take care yourself too, but it's amazing that even those who don't still seem to age better than the generations before them. Probably a lot of stuff in environment is better today, no lead in the paint or gasoline anymore, probably lots of reasons for it.
99	Joseph Stalin	“I stubbed my toe last night”
100	bob cabot	when the reality of getting clean becomes art...
101	Mobeen Patrawala	Death is a terrifying truth. It seriously makes you question the purpose of your life.
102	Anthony Bramah	My word. A masterpiece. RIP Johnny.
103	cristiane alves	muito boooooommmmmm
104	Paul Mchugh	Thank you to the best show on radio one ever Marc and lard x. When I heard this John peel lives on in the show !
105	Sheldon	I cry everytime I watch this video yet I keep coming back. Just wanted to share that with completer strangers here that for some odd reason I trust you all. God bless!
106	Sheldon	Miss this legend more today then yesterday. RIP Johnny, never forgotten🙏
107	JxrZ	Not only does this hit hard, you can feel the pain in Johnny Cash’s voice. All the things he probably wishes he done differently, just like any human on the planet. We all have regrets. It’s sad world we live in and no matter how hard we try, we still have them. I told myself I wasn’t gonna do drugs when I seen D.A.R.E, but that was a lie. I’m clean now, but I did listen to this when I was high. You’ll never understand the word hate until you’ve hated yourself
108	kaminznanna	wow, this hurt on a new level!
109	Bracelets	77 light years away
110	James Bortle	no joke
111	Mbarbara	Meraviglia
112	Bryan James	Brought tears to my eyes
113	Loganrp06	If you this I wish you luck in your dreams on what you want to do
114	Deatherage	I really hope I pass on before any of my friends or family do.
115	25 Shmeckles	This is A nine inch nails song.
116	Marie Sipes	This song is so full of pain!
117	Kubsztal Subsztal	"""everyone i know goes away in the end"" I can barely hold my tears back. We miss you Cash. 20 painful years since your death now."
118	Carl	I am proud to have been here to see his life.
119	websites w/o code	"We are blessed to have had you with us on this ""Empire of Dirt"" 🙏"
120	Christian K	All those people borrowed from him
121	Google Sucks	This song makes me want to loose myself in the bottle, drink myself into oblivion and forget my troubles, the hardship of getting old and all the horrors taking place in the world right now. 90 seconds to midnight! Peace now!
122	Grzegorz Kadziolka	🥰❤️🐎🐎🐎🐎🐎☀️☀️
123	matt frazer	Green. Music 🎶
124	Dawid Warszawski	Legend- The King must be one but there is a two.
125	Dawid Warszawski	Hey Johnny- Las Vegas diminish in Your Bright. Just like Elvis . All this new Vegas..ekhm Las Vegas🙂
126	Ellie	Still good and relevant in 2023!
127	Spec-Ops 	Johnny cash is Top G
128	Алексей Александрович	Это просто шедевр ... Спасибо Творцу, который смог вот такие простые слова и звуки соединить, чтобы душа плакала .... Джони Кэш - это Человечище! Низкий поклон!
129	alexandra gaines	Crying
130	unosomes nekto	Моя жизнь пуста , мне нужна Жена ! Моя любимая Жена! Моя любимая , Жена среди эмишей если бы среди эмишей найти её?!
131	unosomes nekto	Я хочу стать эмишем, хотя бы на время моей Жизни. Я хотел бы что бы Дети мои были эмиши.
132	James Stinedurf	i love the NIN original, but this cover is so effortlessly emotional. if you don't feel anything, you're probably dead
133	Planetary goodness It’s universal!	Hurt Hurts my soul
134	Saul Avila	Saber chiaroscuro con guava
135	Florida Man Dre	The sound of a man reflecting on the long life he’s led and will soon leave behind before he take his final breath.
136	Peace & Paua (power)	Gulp 😢 trent Reznor did it great, this guy made it feel
137	Larry Whinnery	Johnny couldn’t have done a better song at the end of his career and life. It cuts right through the soul.
138	kangaroostew 16	🦷🦷🦷🦷🦷🦷🦷
139	Sumanta Roy	I often come back to this and wonder if that’s the last time Cash closed the case on his piano
140	Dylan H	"""If I could start again A million miles away I would keep myself I would find a way"" Regret at a young age is one thing as there is a whole life ahead of you that has yet to be defined. The end is very different."
141	Elysha Ray	The fact that Johnny Cash did a cover of Trent Reznors song is amazing and to hear how humble Trent was about it, bewildered is amazing in itself.
142	Heckensteiner	John F. Kennedy, Johnathan Taylor Thomas, Johnny Cash.
143	David Thorton	They say there are songs floating in air just need to reach out and grab them, it also says that everyone has a song in themselves. This song was playing in the Heart of millions over the life of mankind, every one heard this song playing in there head, Trent Reznor was the first to bring it out to the world, Johnny Cash put the final touch on it,
144	Marco Ferreira	the emotion in this song...
145	Martin Kalmus	He were Smart Man.
146	chaztech	thats all of us
147	The Archangel Michael I Am #17	16“Come near me and listen to this: “From the first announcement I have not spoken in secret; at the time it happens, I am there.” And now the Sovereign Lord has sent me, endowed with his Spirit. 17This is what the Lord says— your Redeemer, the Holy One of Israel: “I am the Lord your God, who teaches you what is best for you, who directs you in the way you should go. 18If only you had paid attention to my commands, your peace would have been like a river, your well-being like the waves of the sea. 19Your descendants would have been like the sand, your children like its numberless grains; their name would never be blotted out nor destroyed from before me.” 20Leave Babylon, flee from the Babylonians! Announce this with shouts of joy and proclaim it. Send it out to the ends of the earth; say, “The Lord has redeemed his servant Jacob.” 21They did not thirst when he led them through the deserts; he made water flow for them from the rock; he split the rock and water gushed out. 22“There is no peace,” says the Lord, “for the wicked.” Q-link 17/45
148	Benn grainger	We all lose in the end
149	Niles	wow, simply wow
150	HECTOR JESUS RIVERA ESPINOZA	Está canción 🎶🎼 va GENIAL en la película de LOGAN.... Ya al FINAL DE TODO👍
151	Pablo M. Caro	This song broke my heart and soul but at the same time it's so beautiful. I don't know how to describe all the emotions that comes to me. Thanks Johnny Cash for this beautiful work of art.
152	BillieAnn McMahon	Billie ann McMahon kk 👍🙂👌😊😁❤️😍🌅💕🛏️😊😁❤️😍🌅💕😘💗😘💗😘💕😘💗💗😘💕😘💗💗😘💗😘💗😘💕😘💗💗😘💕😘💖💕😘
153	Martin Connors	I still cry my eyes out, when I hear this great tune. A masterpiece. This song played on the radio, after I heard about my Maternal Grandfather's death from Coronavirus 21st January 2021 aged 92. Rest In Peace Grandfather Leslie; the world is a darker place now, without you in it. Miss you so much Grandpa. Fly High and wait for me
154	Jay Whyte	Repent and believe the gospel of Christ.. that he died for the SINS of the world was buried and rose on the third day.
155	Jacob Dibble	skrillex deserves a footjob for this
156	Sgt.Waffles	Nostalgia really isn't what it used to be
157	Star Man	The only cover that will ever be justified
158	DF T	A beautiful song from a very clever man. A man tormented in many woes good vs evil. GOD WON 🙏
159	Trashdragon	nice song but this guy vaguely looks like hector from breaking bad
160	Ben Wood	I was 17 when I went to a Nine inch nails concert, he played this song. It was incredible. I thought it could never be topped. Then Johnny Fuckin Cash did it, and realize it was always his song.
161	Alexandre Masseron	"""I focus on the pain, the only think that real"""
162	Constantin Goga	Antrun final toți murim...
163	Susan Jean	Wow Johnny really made this song powerful.
164	lorenashift	😔
165	Woobyca	Trent Reznor said after seeing Johnny's video that the song was no longer his. I wonder if Reznor wrote this song for Johnny and never knew it...God works in mysterious ways.
166	Marie de Roubaix	Magnifique, émouvant.❤😍🇫🇷🎈🇪🇺
167	Andrea Padilla	It still blows my mind that he didn't write this song, it was written by Nine Inch Nails!
168	Totally Not E	Not the biggest fan of his, but this song hits hard. Like the part I relate to is feeling like I’ll let people down and hurt them without trying. It’s the reason I have a hard letting people come close to see the mess that is underneath who I actually am.
169	Bodacious Tness	One of the best inner-worlds of a junkie ever performed.
170	Tony Wright	So fuking boring
171	Robert Richard	This might be my favorite video tied to a song. Absolutely powerful and beautiful at the same time! Rip Mr cash im 38 now and I'll be rocking your music till my bitter end! Thank you for the gifts you gave to us!
172	Александр Ужегов	По-русски -ЗАЕБИСЬ!!!
173	IroniK	Always tear up at the end.. always.
174	Thewickedjon	pfff wow,,,
175	David A. Gorton	"Not sure old age is survivable and livable in any meaningful way w/o Jesus. Being old and bitter is torturous, full of recrimination. Statistics for elderly suicides are 2nd in nation behind veterans. Johnny knew Jesus in early life, that early introduction to faith all but disappeared in his wild years, but allowed him to be forgiven his failures in his last years. ""I will never leave you or forsake!"" Christ Jesus"
176	Kimberly Richard	Wow! Just wow!!
177	bobnab	this tune destroys me like no other, my deamons, my losses my life
178	Patriot 1974	Johnny Cash just like Nikki six both had shit fathers that sent them on the road to Self destruction thank God they found God an gave us so many years of great music
179	Phil Richards	This is another great cover
180	Phil Richards	He was your grandmother's favorite
181	Renaider	"Until you (we) die , everyone goes before you. Then you leave someone when it's your turn. It's a dirty trick this life thing plays on us because if you are privileged enough to live a long life , you are also cursed enough to lose more loved ones. The best we can hope for is to enjoy them while they're here and honor their memories when they are gone. It's not all so morbid though. Life is a gift and , like everything it comes at a cost. ""I would rather have loved and lost than never loved at all"" is one of my favorite sayings. Enjoy the now."
182	Gentry Tipton	Thank you Johnny.
183	Richard Winter	Lovely beautiful song, true entertainer ❤️
184	Eric Meddaugh	Me to Johnny & I remember everything....
185	inlight2024	what you could hold in your hand will never last , what you hold in your heart will last forever
186	David Flieger	For me, Johnny Cash is a person for whom I have deep respect, respect and humility. Even though he has already left this world, he lives on for me, lives on in my heart...
187	Slick Robinson	Folsom prison
188	Feral Male	Powerful.
189	BulletTooth504	"Trent Reznor: ""This song represents a life of pain, addiction, and regret."" Johnny Cash: ""Hold my beer."""
190	Joseph Burke	For all i've been through. For all i still go through. This is the one song that i keep thinking of in my head.
191	Fred Jacobsen	- LOVE THAT WHICH CREATED ALL THINGS AND BE KIND TO ALL THINGS THUS CREATED - PASS IT ON
192	Sly Mother Trucker	Better to regret something you have done, than to have never done it before........ Cash is cash irreplaceable
193	Mila Klaus	To je néco tak nádhernýho
194	Darius As	God may bless you all. Amen🙏
195	carlos nei lemos dos santos	A MUSICA MAIS TRISTE DO MUNDO.
196	Theresa Hoysic	"And I remember my dad lived to 96..."" they're all gone""..."
197	Theresa Hoysic	Thank you to the producer who made these incredible recordings with Johnny and for...us
198	Stellarheim	Save Johnny, disregard Cash.
199	Lucifer	I can't stop watching this. Hard to believe Mr.Head like a hole wrote something like this!
200	thor eric	I'm allergic to the emotions in this song ... where's the tissues
201	thor eric	Johnny hit home runs at the end ... I love his voice and Rubin revived the GREATNESS somehow somehow got this great singer in front of a mic again.
202	Saif Rehman	So much power in this song man. Truly a masterpiece. This song just feel like a song about life and death. You would have it all , my empire of dirt.
203	Duxsy	I can relate to this i wont be in this cruel world much longer im going to leave
204	lucio aburto	“My Empire of dirt” such strong words.
205	don maclean	The piano crescendo always makes me cry!
206	zemstone	What have I become my Swedish friend
207	Alejandro Del Portillo	👏🏿👏🏿👏🏿
208	Anita Spehar	Über was singt er????
209	Mahmoud Peighambari	pure art . one of the greatest songs ever. even its not originally from Johnny but its suit him very well. truly amazing.
210	The Dark Knight	Logan, you still have time
211	Lazarus	*The man in black will live on*
212	Muffin Man	Damn.
213	CaptSorghum	Man.
214	Duque	que buen tema ctm
215	Fkthe Demlibscum	It's normal and common for people to leave and move on, so welcome it... Even marriages fail, so be wise and rejoice the loss for it is your gain... What's sad, however, is to lose the one's in death that remained in your life.
216	Dominique Pilon	HE TALK TO SATAN!!!!!!!!!!!!!! YOU STAY THE HELL AWAY FROM ME!!!!!!!! YOU EAR!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
217	Blackwolftdm	185 million views damn
218	Blah_	I have heard this song more than a dozen times and it still chokes my throat and squeezes my heart.
219	LiamRapsGayShi	Man I have diabetes too and to see that he died by diabetes makes me scared ngl but I had diabetes since I was 6th grade I’m graduating now! Diabetes sucks man
220	フィリップ	so powerful...
221	cristian lozano marin	"""Logan, still have time"" 😭"
222	Roberto Schneider	I come back to this song every time I am sad and suffering (like now) and it’s a guaranteed cry
223	Warren Wilson Batista	I'm a 49 year ol man filled with sadness, anger, loneliness and regret. I never had a meaningful life here on earth. If I could start again, I would fine a way
224	Jean Michel MARTIN	Understand this song is undertand life...
225	Vicki Gonzales	Feel this and we all wish we could go back to change the things we did and now regret!.
226	No time like today	This song is so sad, for such a strong man he was holding on to a lot of pain
227	Henrik Kragh	Man... 71 years old here, looks 100. What a great song.
228	vhs1994	I'm glad he's not here to see all the bs going on in the states. Rest Easy Brother.
229	Philip Cucci	I didn’t know he was still alive when I first saw this video. Turns out I was too late to meet him.
230	Ricardo Barría	Una hermosa Canción...
231	The Animation Kingdom	What a legend! everytime I get goosebumps listening to this masterpiece.
232	Recovering Catholic Born Again Atheist 	No other song touches every emotion like this........ pain is hard to talk about, but we all feel it.............
233	Chris Flagg	this was one of if not the first song i wanted to learn how to play. it is simple in its notes but powerful in its message
234	Melted sandwich	The lonely man on his empty throne waiting for his regrets to heal
235	Nando Play	E a referência do Henrique Mendonça
236	Johnny Angel	Pristine
237	Mike Sala	A whole life has past... and at the end of our days we wonder what have we done with this life our heavenly Father gave to us.
238	Mystical Wise Tree🌳	Henry Dean
239	Ben Leermakers	The more i listen to this, the harder it kicks in.... Great song, deep emotions.
240	River Critter	Tool completely stole a Led Zepplin song. Ryan Upchurch completely stole a T Grizzly song. This is every bit as good, if not better, than the remake he did of the Soundgarden song Rusty Cage. Johnny Cash is dead but because of what all he left for us, he'll never die
241	Games and more inc	Latino Heat
242	Space Elf Downlink	I have never seen the video before, heard it plenty. but now I know why Trent basically said its no longer his song.
243	Praise Nation Kids	This song and video are...it's just not fair...ruthless to the emotions.
244	Arnold Blashak	This is all about June Carter
245	Wes Baumguardner	Perhaps I am biased, but I prefer the original. Cash is so monotoned and almost expressionless throughout the entire song that it sounds almost robotic to me. Perhaps people take this monotone expressionless voice as a man coming to grips with his mortality in casual acceptance, which I understand, but I still do not think that makes it as exceptionally great of a performance as many people do.
246	Justin Young	Check out the ishayas ascension for a better life.
247	Christie reactions	This great music video almost made me cry😅
248	Ellie Saafi	What a gorgeous rendition.
249	Victoria Stroup	In his song hurt
250	Victoria Stroup	There are some things he sings in his song that I can relate to that's why I was asking
251	Victoria Stroup	May I ask what the name of Johnny Cash's movies called
252	Krogan Love	Welcome to the human condition buddy. DId you think the misery pain suffering and guilt that you read about in books and saw in movies wasn't real?
253	Haroon Shareef	Shut up, old man
254	mp4	An Open AI send me to this 💀
255	T C	I thought this was made in 2012 or something
256	João Meireles	Everyone i know goes away...rip TM
257	beachboy13	Ouch
258	mesa's artworks	R.I.P. #Legend
259	Olimpia Varin	It is possible. To make some things ..going back in Time.
260	ZimStarLion33	Great song. Great artist. 👏👏👏 RIP Johnny
261	Sascha Ross	This song Was part of my Personal darkest hour. I had nobody to talk to or Listen to. I suffererd under my severe depression. And then i heard that Song and started to turn my life around. 6 years later i hear this, cry and take up my guitar
262	MrKaywyn	Remarkable.
263	Razgy Mic	It's been officially 20 years since Johnny Cash has died and this song is still here to keep his legacy alive !
264	Jonas Elmore	The best of music new forever!
265	BardiX Official	Trent Reznor and Johnny Cash tell 2 different stories, Trent Reznor is in crisis and is soul searching, wherein Johnny is running out of time, at the end, both can make everyone shed a tear
266	EF3CD	damn, this song hits like a truck
267	GingerNorseman	this man is my world
268	William Taylor	The world needs a bit more of Johnny Cash.
269	Jão	.
270	Sharon Noble	He as we all ...have to walk through this life. The human condition is so very broken. He found the answer to a broken humanity. He found his Savior and his Redeemer. He left us who remain with the hope of eternal salvation through Jesus Christ our Lord! Don't miss what he tried to impart to us. Johnny Cash lived it. He absolutely knew of what he spoke!
271	Jesse Bronson	"Wow is all i have to say.... what a beutiful spirit, i would't find a way"". :.( ""try to kill it all always"" always makes me emotional but all that understand."" understand. No matter what remember that you are important and there is a reason...."
272	Giao	God bless Johnny Cash. 😢❤
273	keza41	Bloody dusty in here…
274	Massimiliano Mallegni	......
275	J. Clayton	Johnny Cash had a pretty good run. This song doesn't ring true of him at the end of his life. He would have felt his best life was yet to come. This is moving anyway.
276	Dan's Hunting for Collectibles.	He is so missed
277	Pestcontrol	I love that Trent said this is no longer his song he gave it to the man in black
278	Gavin C	This song hits even after all these years
279	Lawrence Begg	This song hit home because I was up last month a life long drug addict
280	Ashley Banks	My boyfriend Joker Pugh made me listen to this. He's just 23 & I'm 22. I still wonder why he listens to such at his age. Not my type of song but I think it has lots to say about how he feels inside him. I hope to love him better ❤
281	Andre Kozonoff	ANDREAS HERBERT BARTHOL CLEVELAND OHIO LIL HERB ON DA CURB CLEVELAND OHIO ANDREAS LOVES YOU ❤️❤️❤️❤️
282	Cookie Banana	I’m back this time because my cousin committed suicide and this song helps comfort me during the pain
283	wind amnesy	Great song, great men. Thank you.
284	anywaythewindblows89	“Everyone I know goes away in the end.” Oh my God, so true.
285	Slightly Damaged	This makes me cry every time. Cash really made hurt his, and I wouldn't have it any other way.
286	Gone Full Trad	Whenever I am thinking that I lack emotion or like I have just shut myself off to the world with a coldness towards suffering or pain I remind myself to watch this video and it comforts me in knowing that I m still here and that I do actually feel emotions . I watch people wither and die for a living (cancer center) and its songs like this that keeps me connected to humanity and life.
287	Cali72	speechless😪
288	Boardwalk BW	Ouch, this gets me feeling that painful lump in my throat every time...Love Johnny and June
289	mick g'ee	Quite possibly the most beautiful rendition of any song ever with such a beautiful story to go with it , this will 100% at my funeral
290	Jeremy Braunm	I'm a Johnny Cash and I absolutely love this song
291	First name Last name	This old hag, stole the song title from Oliver Tree. This jonnie cash guy sucks
292	Joziu	2023
293	MissPristineVenom	Tears...
294	Not Sure	Although not Johnny's song, it HAS become HIS song. Johnny's transparency about his addictions. Yet, he had hope the the Lord Jesus for forgiveness.
295	Lex Hoogvliet	Respect RIP
296	BILLY THE SUPE-BUTCHER	Sometimes some lyrics reminds your past mistakes and your gorgeous childhood
