old_id	author	comment	origin	category
63	Jonathan Mon	Lyrics When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry … You float like a feather In a beautiful world I wish I was special You're so fucking special … But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here … I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul … I want you to notice When I'm not around You're so fucking special I wish I was special … But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh … She's running out the door She's running out She run, run, run, run Run … Whatever makes you happy Whatever you want You're so fucking special I wish I was special … But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here	Creep
64	Larry W	Wow does this bring back some awesome memories... such a great time in music history!!!	Creep
65	Lydirius	When I listen to this song, so do my neighbors. 😉	Creep
66	Ricezen	though this is the first song i truly listened to by radiohead i will still give the credit to idioteque	Creep
68	Fatoş Şabudak	Scott watching this after he eated his parents and called crybaby by radiohead (south park)	Creep
70	Rockabilly_blues	One of my all time favourites songs ❤️❤️❤️❤️❤️❤️	Creep
71	mirto arvaniti	I’m only 13 years old and I love rock also this song	Creep
73	Isa Rosa	A while ago a teacher from my course sang this song to the class, his voice was so good that it made everyone in the class cry for the lyrics and the emotion he put while singing.	Creep
74	Free 222	Let's go	Creep
76	fahrim sidik	masterpiece	Creep
77	Classy Caribou	Most overrated song in the history of mankind.	Creep
78	lenie ain't trippin	I know Radiohead hates Creep, but this will always be the anthem of depressed and insecure people.	Creep
81	Baby Duck Яков Бурнышев Николаевич Душа  	Radiohead - Creep	Creep
82	Amz a proper Yorkshire lass💜	The girl he wrote this about knows who she is! An thank you for obviously been a prize Bitch as without you saying what you said that day this amazing song wouldn’t have been wrote	Creep
83	carlotta fuentes	Still active in my playlist 🔥	Creep
84	inatoli awomi	Still going n will go on	Creep
85	ovuvuevuevue enyetuenwuevue  ugbemugbem osas.	Hi	Creep
86	Tserenbyamba B	You're so fu*kin special	Creep
88	Amirah Roslan	i listen to this song because of him. he leave me but i still listen to this song.	Creep
89	PedroVision	"""Creep"" is the debut single by the English rock band Radiohead, released on 21 September 1992... As special today as it was back then..."	Creep
91	jane Suzanne c	Thanks for introducing me to this Jason in 2021	Creep
92	HERO HERO-666	literalmente eu .	Creep
93	Kamil	I'm a loser so kill me baby... 😎😹❤️	Creep
94	alisa	Ah timeless	Creep
96	Kaiser Soche	I'm a weirdo too, this is my theme song	Creep
97	Bethzua Mendez	I miss him	Creep
98	Caleb Brakeman	im just going to lie here on the floor now	Creep
99	Tim S	I’m 74 with stage four prostate cancer and when I’m having a bad day I grab my guitar, crank up my amp and play this followed by Send The Pain Below by Chevelle and my day is so much better. Peace	Creep
100	Dale Morgan	Mad to think I went to school with the drummers kid and didn’t even know till I left	Creep
102	Belhelha & Surssina	Priceless	Creep
104	luk a	Mimi and josy better for me	Creep
105	luk a	2023 and still listening	Creep
107	Jim McClellan	Desperation, frustration and realization. Everyone has felt that at some point in there lives. Brilliant song.	Creep
108	Belen Tk	Love this in every way😊	Creep
110	Paul Boss	All dont belong here.....I feel that,still moving forward age 49	Creep
112	Đức Hoàng	best song of my life	Creep
113	Levi Krispijn	Someone here in 2023	Creep
115	lolbitgXwolfer	I sure do hope the mtv beach house performance of this song goes well!	Creep
116	KUDASAM	every man has ever admired a woman who he thinks is very special, but feels that he doesn't deserve her.	Creep
120	James Dean	Hey you guys remember when this first came out and was playing on MTV	Creep
121	Riki Prawoto	Lirik When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around So fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here She's running out the door (run) She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doin' here? I don't belong here I don't belong here	Creep
122	Enori Kudari	This song is calling me out fr	Creep
123	NEGATIC	This song makes the pain and sadness the same	Creep
124	Elias Sancillo	I really wish I had this song my entire life such a unique and well put together masterpiece absolute virtuoso of a song doesn’t get any better then this so raw and simple but so deep and powerful it really makes you have a feeling of acceptance of yourself and let’s you say you are who you are and you accept it and love it WOW is all I can say and let’s not get into his delivery of these lyrics what a god like performance top 3 songs ever and not debatable	Creep
125	Aldy Surya Ramadhan	i like it	Creep
126	Walking Through Worlds	This is not a song, it's an experience.	Creep
127	HECØR	jk h	Creep
129	andrew michaels	I had to come back to this song, why because it makes me think about life makes me think about everything and everybody I just want to bless the United States of America and for those who are not like us go fuc yourself!!... It's not who you are as what you think you're not going to hold you back in life gather your thoughts and make it count everyday God bless those like us...🇺🇸🗽💪✌️✨😇👍..	Creep
134	Fulya Ozkan	Good old 90's...	Creep
135	Ian Alderton	I really hope they earned a heap of money from this song, because they have 'more than' deserved it	Creep
136	Саша Сотник	"I thought that nothing can kick me in and i really like. But i saw Joe Division's ""Ceremony"" by Tom York... And Radiohead became my favourite band. Their creation passed through all my life, i liked art of their first album, when i saw it on the internet, and even if i didn't understand some their songs, it was something unusual for me and took my heart, and it's cool"	Creep
137	Richard Geller	"When I was a teen I started relating to the lyrics but it got me down because I was harsh on myself.... But in the end , the ""I don't belong here"" would make me feel at peace, I just have to accept that this is who I am then, I thought. A few years later and real life experiences, when I hear ""I don't belong here"" I feel wow I was so harsh on myself for nothing, I am my friend and I love myself and tomo I will get better. It doesn't make sense because the lyrics don't talk about life, but anyways Thank you Radiohead♥"	Creep
139	김아중	For loser	Creep
140	Jayston Evans	Ah yes, one of the songs of all time	Creep
141	muhammad prajawanto	distorsi reff is legend	Creep
142	Dhia Danish	Ouch..	Creep
145	Idyllic Pluto0	Yeah	Creep
146	teguh	I have heard this song since 20 years ago, :D	Creep
148	Stefania Basini	52 and still listening 🎧🎶	Creep
150	Dave Spence	Check mate	Creep
152	Jessica Hie	I’m here so my daughter can hear this song. Her ex is trying to get back w her. He’s a creep	Creep
153	Eyeball Seegood	I came late to Radiohead. Glad I arrived.	Creep
154	Cammm 06	you know it’s good grunge rock when everyone in the band has disgusting haircuts!	Creep
155	Calvin Jones	759 million views and I'd probably say I have about 10 million of those. Will never get old for me!	Creep
159	Midknight	Love this song he's god	Creep
160	Thiago Almada	massa	Creep
161	Donna Kreischer	I listen just to hear that high note...	Creep
162	musicas xd	what style of music	Creep
163	Tessa Neugebauer	Wow. It's hard to believe this song is over 30 years old. I was 13 turning 14 when it came out. And I still f****** love this song. It's awesome. It sounds just as good today as it did back then. Actually, I see how much better music told a story back then than it does now. Maybe it just seems that way because that's when I was younger and more impressionable.	Creep
164	beautyfrompain x	this song always resonated with me. Felt like my middle school/highschool experience. Too real	Creep
165	Evan Chamayou	who is here in 2023 ?	Creep
167	Jay Santana	This is the best part of the song everyone strums the guitar 1:52	Creep
168	Happy Yatim	Greenwood guitar sound is very iconichere	Creep
169	Angga Adi Prabowo	Ndebuzz, I love you	Creep
170	Samantha Gunn	If I am in a good mood, this leaves me uplifted.	Creep
173	J Fresh	Yeah 👍🏻	Creep
174	The-Art-of-Guitar	I used these lyrics during a few dates back in the day. haha. Didn't work.	Creep
175	Lady Miss	this song is so bleeping special	Creep
177	Fedri Daryono	Merinding denger lead guitar nya	Creep
178	Mike Winkelman	Super song	Creep
180	jeff m	By saying you do not belong denotes seperatism.	Creep
181	jeff m	You do belong there bud.	Creep
182	Philippe Cuypers	Love you baby you are the best go baby go baby we love your job ❤️😘❤️😘❤️ it l had	Creep
184	Lisa Kuntzman	Emo at its best	Creep
185	TheReaper’sBack	Forgot about this song, wow	Creep
188	flylo	this is a fucking masterpiece, period.	Creep
189	Purna Konar	I wish I was special 😔😔😔	Creep
190	Geet Chadha	Depending on your age this track can be: 1. An awesome song 2. A feeling 3. Reality	Creep
192	WolfSeven	as Paul Mcartney says.. legendary...	Creep
193	In Crypto We Trust	Legend distorted guitar riffs. No other like the guitar riffs on this song.	Creep
194	Matia Mujollari	one of the best songs ever	Creep
196	Sulman	Damn I just discovered Radiohead a couple of days ago and now they are the best band on the planet for me	Creep
197	Steve Gunter	So our lives and the way people make us feel	Creep
198	rizkytaufik official	2023 here?	Creep
200	Andriano moreno	Now 21-01-2023 love this song 🎶🎵	Creep
202	Fajar ilham	The best part is sabotage of greenwood	Creep
203	Haru Sae	I've been in love with a girl for a while, I've never really had a positive self-esteem, so even though I even dream about the girl, even after a long time I haven't had the courage to declare myself, it really hurts to live like this, I think I'm nothing to have chance to be with her, she is so perfect that I don't think I deserve her, and at this point, even though it hurts, I think I'll give up. :) I am a creep.	Creep
204	Lena Jackson	Hollies- Air that I breathe	Creep
205	Thomas Wilson	Not me discovering for the first time like 👁️👄👁️	Creep
206	Ben’s Wig	I’m a creep. So what?!?	Creep
207	Gi	I don’t care if it hurts I want to have control	Creep
208	James Donnelly	Your just like an angel skin makes me cry..	Creep
209	wiki	I hope she's happy with that guy	Creep
210	条愛	Since now and here forever...	Creep
211	Leon Gouws	Forrest Gump composed this song	Creep
212	deerbag	i disagree	Creep
213	Carmen Salcedo	love this song before and now, forever and ever!!	Creep
214	Bad Davinci	the best Moment in this song is when pre Guitar Distortion before chorus. That Baddas	Creep
215	John DiGioia	14 years and it's still cutting edge	Creep
216	Princess Truth	Why do I love this kind of music ? I‘m not maso , I believe it‘s why I never felt the earth as my home - I‘m a foreigner on this earth . This can happen , but it‘s weird . People are so stupid , boring -❤️‍🔥	Creep
217	Aquiles Venancio	What a Hell Im Doing hereeeeeeeee??????	Creep
218	neal baker	For all you freaks, weirdo's throw your hands in the air like you just don't care. But, be cool you don't want to go to the places I've been in Cali, yikes. You'll be alright.	Creep
219	Ghader Cell	my special song 🎵 ❤	Creep
220	Yan Yoshida S	Stay here 2023	Creep
222	ethan pro	anus de bronchite	Creep
227	CreepN The Frog	This song is my go to for letting something go or allowing something to end. Closure @ its soul is my 2 cents here	Creep
228	Music Future	This song is 1 year older than me :')	Creep
231	kurishey	The more you understand the meaning, the more it hurts.	Creep
232	Scotty Elliott	That 20 or so seconds at 2:40 ... I always look forward to this every time it starts. And he kills it live too.	Creep
234	Faris Abdul-aziz	20-jan-2023 nd we still creep	Creep
237	Zuriel Rosas de la cruz	Am a creep Am a weirdo	Creep
238	rickey lama	Who’s watching in 2023🎉	Creep
245	Justin and Hanna	Somehow this song just keeps getting better as the years pass!	Creep
246	CarBitGTSaxen	Ah geez don't start singing Ned	Creep
247	Leonidas 63456	that's a piece of shit	Creep
248	michael papa	0:57 white peoples favourite part	Creep
249	Lawrence Ebale	I can't say I want her to be back	Creep
250	Danito	pablo miel temazooo	Creep
255	Deanna Hinmon	The Vincent Cannady Cover to this song is literally amazing	Creep
257	Crepe Reed	Crepe widingham	Creep
259	Crepe Reed	Am I a creep ?	Creep
260	Crepe Reed	📌 AM I CREEP?	Creep
262	Bert Brown	Patrice O’Neal brought me here today!🥲	Creep
264	EV MOLLET	Classic	Creep
266	Lord England	One of the best bands ever.	Creep
267	Milo	I’m a creep ..	Creep
268	lyan	this was playing on the radio as i was on my way to school w my family lmfao 9:26 pm thu jan 19 2023	Creep
269	Jacob Larsen	put this song 2x speed sounds goofy asf but lowkey good… try it	Creep
276	Your_average_jane	I’ve been rejected and hurt by so many people that I treated like gold in the past, it hurts :((..like my friend who had severe driving anxiety, I brought her to places to have fun, made her feel like she had a person to confide in, took phone call after phone call when her bf was treating her like shit…she goes and sleeps with a guy I was dating	Creep
277	Your_average_jane	The most relatable song in existence	Creep
279	Nazwan Ibrahim	healing time	Creep
283	Douglans Salazar	excelente tema	Creep
284	P p	But I'm a crip im a wirdoooooo bai my coochieee I don't begon hear	Creep
286	sadman uddin	Happily ever after.	Creep
287	Piroshki Cmrd.	"After months of suffering, I finally broke out. But now I start to feel that I am becoming the inmate of depression again. ""I want you to notice, when I am not around..."" Truest line. Truest one."	Creep
292	Code 1	Shame that they (Radiohead) hate it, creep is an amazing song	Creep
294	Oliver Espinoza	Te amo radiohead	Creep
295	Nato	me fr	Creep
296	Mehak Verma	I've been single my whole life. And for the past few years, I would come back and listen, over and over again...But now somebody likes me, and I like them. I think I might be entering my first relationship soon...so this time, when I listened to the song, it felt different, maybe it felt worse. I'm afraid to let him in. To tell him I'm a creep, because I'm afraid he'll run away. He'll know I'm a loser. He has no trouble opening up to me about his problems, but I would never tell him any of mine...	Creep
297	VW Fan	Was in High School with this bad ass song.	Creep
298	picanha paulo 666	Não entendo o por que dessa música ser comparada a get free	Creep
299	The Deflektor	People: This song is good Radiohead: NO	Creep
301	LARD GG	Bro speed this song up to 1.25 by accident, best mistake of my life	Creep
302	George Premium	What the hell am I doin' here?	Creep
1	Brandon Lewis Gaming	I think this was the best piece of pop art about death until Bowie’s “Blackstar” 12 years later	Hurt
2	Z K	The point of this song is beyond what many people think. He’s referring to his past life of fame , drugs and trophies as an empire of dirt that will fail you not only emotionally but you can’t take any of that to the grave, it’ll give you pain and hurt especially in comparison to the gift of salvation in Jesus Christ that has victory over the grave. Jesus is the way the truth and the life. The 10 commandments are the moral law, you and I broke the law, but Jesus paid the fine. That is the whole purpose of the coming, death and resurrection of Jesus Christ. To pay the wages that were due to us so that those who believe will be pardoned on judgement day. I believe this song has a sense of regret of choosing the life he chose in the past over the precious gift of salvation, when we know this truth and continue to indulge in sin, it’s as if we are nailing Jesus back to the cross. But I believe Johnny cash came back to the truth and entered glory with his Savior.	Hurt
5	Joe Stevens	The older I get the harder this song hits. ❤	Hurt
6	Neil Menzies	Love this most honest song I've ever heard ✌️	Hurt
7	John Sagsveen	This is one of the most metal pieces of art I've ever seen	Hurt
8	Marc van der Kruis	@Jesus Cespedes No way dude... I literally JUST did Arthur's final mission 2 minutes ago... and I needed to listen to this song... talk about coincidence....	Hurt
9	Олег Михалап	Nice song	Hurt
10	27neverlose	What an incredible song. It's amazing how every verse has the meaning of our past life and the death that awaits us all....	Hurt
11	Jesus Cespedes	This song would’ve been great for red dead 2 when Arthur dies	Hurt
12	VicGeorge2K6	My father just passed away recently (1940 - 2023) and I was thinking of this song	Hurt
13	Alaa	Full of broken thoughts	Hurt
16	Winterwolf	Currently losing my brother now.. I understand you Johnny... I understand it so well..	Hurt
17	Gaurdian Tome	Because you all killed son.	Hurt
18	DAPICS	I hurt myself today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole The old familiar sting Try to kill it all away But I remember everything What have I become? My sweetest friend Everyone I know goes away In the end And you could have it all My empire of dirt I will let you down I will make you hurt I wear this crown of thorns Upon my liar's chair Full of broken thoughts I cannot repair Beneath the stains of time The feelings disappear You are someone else I'm still right here What have I become? My sweetest friend Everyone I know goes away In the end And you could have it all My empire of dirt I will let you down I will make you hurt If I could start again A million miles away I would keep myself I would find a way	Hurt
19	Chinmay mandal	Wao… those few words by Trent Renzor… ❤❤	Hurt
20	Not so hunkey Monkey	This is the closest a song will come to making me cry and it was damn close	Hurt
21	OscarDev	I will never forgive him for being impatient on that pause between the verses and chorus where Trent sets the tone, but here he just jumps it.	Hurt
22	Not Sure	Oh man, I am more scared to grow old and suffer than of dying :(	Hurt
23	William Kennedy	I think Trent Reznor produced this. Powerful Try Gods gonna cut you down. Also powerful	Hurt
24	Steven Wolf	9 inch nails	Hurt
25	Steve Blundon	"The year is 2002. A guitar student comes in for his lesson and asks, ""Have you heard Johnny Cash's version of Hurt yet?"". I quickly find a copy, cue it up and sit in my teacher's chair - just - listening. Replaying it three times because I can't believe what I'm hearing. I've never, ever heard anyone sledgehammer their stake in the ground with such musical perfection. Johnny absolutely OWNED this song in every way. To this day, his version still has the same effect on me, and probably you as well."	Hurt
26	Quim Buth	The real Truth of life	Hurt
27	Huize Vulto	i cannot imagine the emotions this song conjured. a true legend signign off. gone, but NEVER forgotten.	Hurt
28	Shelby	what hae i become my sweetest frend	Hurt
29	russ morrow	Legendary performance	Hurt
30	Rick Salisbury	A 20 year old Trent Resnor ,(NINE INCH NAILS) wrote this song. Trent says Johnny owns the song.	Hurt
31	Martin Smith	The most poigont film I ha e ever seen.	Hurt
32	Todd A	I found Pretty Hate Machine in November of 1989 after jogging to a record store in Lake Tahoe...been a Trent Reznor/NIN fan ever since. Absolutely beautiful, monster of a cover. How the fuck did I miss this?	Hurt
33	Orcastro Júnior	Listen, this song can also be great: https://youtu.be/Tt-ABLG4KC0	Hurt
34	Orcastro Júnior	Waw. What a song	Hurt
35	Iskander Utyashev	It's been officially 20 years since Johnny Cash has died and this song is still here to keep his legacy alive!	Hurt
36	Connor Prince	He lowkey looks like he could be godfather	Hurt
37	Cristián Gonzalez	So very deep	Hurt
38	Colin Tomlinson	I am the youngest of seven children I dearly hope that I don't have to say goodbye to my six lovely sisters	Hurt
39	silentdeathwish	Kill or be killed	Hurt
40	Vlcoun	Respect to this man.	Hurt
41	Pepe Gomez	"""Good artists copy, great ones steal"" Pablo Picasso."	Hurt
43	christian rossi	one of the best song in the history of music	Hurt
44	Vottoto Iono	'm crying	Hurt
45	Patrik Huljak	Man...	Hurt
46	Deep Learning	The Gods a God	Hurt
47	tRex	You can't do it much better than that. Song and video.	Hurt
48	Gary Robinson	A fitting last song for a truly american original	Hurt
50	Art Fleck	I can't stop playing this and I can't stop crying.	Hurt
51	Sean Atherton-Feeney	The greatest compliment to a song writer is to have their song covered so well its authorship is lost and the global community forgets you wrote it. In that forgetting can be found, ironically, immortality. Thanks Trent and Cash.	Hurt
52	Dan R Goodnight	incredibly powerful and still causes a problem with my allergies	Hurt
53	helmut23456	This song touches my soul.... Johnny's greatest work; he saved it for last~~~~	Hurt
54	Dan Gennaro	You know, I was never a big fan of Johnny cash, never was a country fan at all, I said his music was too dark or sad, or depressing as a teen and young adult. Then you get older and life happens, where you find yourself in a dark pit, when everything is upside down, wrecked, and all of a sudden his music resonates so much more in my soul. Especially this song above all else. What a amazing anthem.	Hurt
55	Mike Freitag	I can’t even listen to it. 😢	Hurt
56	David Cox	Cash's version of this song still makes the hairs on my arm stand up. 25 years ago, if someone suggested Johnny Cash was going to cover a Nine Inch Nails song, I would have said that's a stupid and even ridiculous idea. But my God, this song is at another level. So emotional it rips you apart.	Hurt
57	Matz Hatz	poor rich man😭	Hurt
58	LazyDemonSeed	LEGEND	Hurt
59	grezy_mechta	Awwww am so emothionnel.😱😱😱😱 am litteraly crying😱😱the piano is good😱😱 Fck off cringy ppl w ur shit music taste	Hurt
61	Peter Nicklin	Every one I know goes away in the end. Mom and dad I miss you.	Hurt
62	Cesar Elias	one of the most honest pieces of music ever created	Hurt
63	Autism Social Cast	Time forces the memory in its place. Instant gratification is only for the Cool Cats. Let me explain. Memory makes you want to go back to that feeling. Addiction, a terrible thing that the elite neurotypicals. Resistant to peer pressure unless it for its own petty gain, then force must be used, because natural selection never ends well for the monster. You will never take down the ringleader, you can persuade those around them to pull the trigger.	Hurt
64	DrMattDestruction	they lied to you about the minimum wage. if the minimum wage was $0/hour, you could've been hiring employees since you were 14. everyone can afford to work for $0/hour if the Universal Basic Income is in place. let's give everyone a guaranteed minimum income of $1,500ish USD/month. tretettetet	Hurt
65	christianlorre	It's so chilling. And so sad seeing how much he aged so badly. Brings out a lot lot of pain because I remember my mother and how much she changed in the last 25 years of her life going downhill so subtle until you realize how much is lost far too late.	Hurt
66	Bradley Carrico	I really wanna know how this song came to be chose. So different from the normal Johnny Cash songs. What a cover! It’s no longer a 9 inch nails tune.	Hurt
67	Lemar Tin	What have I become- my Swedish friend?	Hurt
69	Seba Promyk Official	Brilliant!💥👌	Hurt
71	Bernhard Odorowski	you can't just leave! we need you!!! told you to stay the hell from me you hear?	Hurt
72	Mark Cargill	Thank you JC for everything. Love from Scotland.	Hurt
73	Tobias Kuhn	I loose it everytime June shows up and I can't stop bawling my eyes out	Hurt
74	Clint Potts	I grew up listening to my dad listening to Johnny Cash. He had all the early albums and when he got in a particular mood, the Johnny Walker and the Johnny Cash came out. He'd sit in the dark listening to all of the old songs. When the music stopped and the lights went on, dad was himself again. Sometimes, you just need to feel some pain. I always respected Cash but it was this song that made me understand. This song made me a fan. Sometimes, you just need to Hurt.	Hurt
