	author	comment
23	Viorica Neagu	"The most beautiful movie ❤️🔥 that i've ever seen.... romantic and full of pasison with a ""Stellar"" cast 🌟"
24	Trinity Bond	There was a land of Cavalier and cotton field…
25	Mistress Mary 	just got lost in a wonderful daydream ❤
26	Angela Picraux	Riverpoint amphitheater Dave & Buster's some of the best places to go Discovery zone Chuck-E-Cheese To make it seem easy to Disneyland the tour of Hollywood the tour of the music industry how it came to be a hit from where to where that's where they were to tour in the Statue of Liberty and turn the standing crooked statue of Pz how could it ever be pleasing to anyone or anything everything we have out here and yet we go to work 40 hours of work week and sleep or crabby and irritable and we have no capabilities of getting anywhere even to Nevada no blow our paycheck we can't get anywhere we can't I see so tired and so wiped out how do we get up how do we scream without yelling and shouting write 2307 s c h o t road lot 43 Jefferson City Missouri 65101 let me yell and chat through the FM band through inventions you create that's what I did to get here LaToya Jackson wrapped up in this little baby born next door with the umbilical cord has it where she's able to hold on to these other kids too and she's able to chase me around I don't like having stalkers Elvis Presley's daughter I don't need to stop her grandpa's special magic stuff unlocking retreat
27	dana carter	They said ever person in the world would have to see the movie for David to get his money back ,we are still watching almost a 100 years later , best picture ever ❤
28	Godai Yoko	Unforgetable
29	PAULO BOCCATO	Epic !!! Today? The movies are so trash ...
30	Antonio Manso	I played such theme at so many parties entrance themes. Pastor JBAlmeida Brazil.
31	Christine Mulligan	Magnificent!
32	Christine Mulligan	I loved this song in the early fifties when it was the theme song of Million Dollar Movie and even more when I discovered Gone With the Wind. Later on, I named my beautiful daughter Tara...such a hauntingly beautiful melody...
33	Stuart Joy	Vivien Leigh is one of the most stunning and beautiful women that has walked this planet ❤.
34	Elisanderson	Ohhh, professor Girafales...
35	Churchill	「I’ve always had a weakness for lost causes, once they’re really lost.」 That is my most favorite line out of this movie.
36	Chiến	this piece hit different after reading it
37	Ashley	Wonderful! My mother's favourite film; where she found my name! 😊😊
38	wicked child	Não gostaria de entrar para tomar uma xícara de café?
39	Kiran Sampat	Rhett is right to leave Scarlett.He has tried to win Scarletts Affection and Scarlett ran to Ashley all the time.
40	Darla Z	Nothing like it in the world! Beautiful, magical!
41	Phil Hurtado	Back in the fifties, I saw the movie, and at that time channel 8 in San Diego had the daily news, with Tara’s theme as their back ground music. That’s when this music, Tara’s theme, became part of my history. I used to tear-up when ever it played, as it reminded me of how a way of life disappeared from history resulting from the civil war, hence the name of the movie…”Gone with the wind”!
42	gehtdich garnixan	Die Kleider- traumhaft
43	Soller Games	- Teacher Girafales! - Miss Florinda! - What a miracle you are here! - I came to bring you this humble little gift.. - Thank you very much! Don't want to come in for a coffee? - Wouldn't it be too much trouble? - Of course not, come in, please. - After you, miss.
44	Deathrow Inmate	I wondered why it was called Gone With The Wind ..... then the scene where all they had to eat was radishes. I understand why.
45	Joédson Gomes	This song is the theme of the characters: Dona Florinda and Girafales teacher, from the series, El Chavo del ocho, by the eternal Mexican playwright Roberto Goméz Bolanos.
46	Claudia Ferguson	I've always loved this song. And to find out the same composer wrote the Casablanca theme amazes me.
47	Kevin Jones	One of the True Classics. Majestic. The best part was Scarletts Indomitable Will, and her Strength and Perseverance in Rebuilding after the Civil War. Must've been her Irish blood. Great job by Margaret Mitchell on the novel.
48	MG Expressions	🥕
49	Katrín Sigurþórsdóttir	Best movie ever. Classic , elegant lovely and sad. Beautiful love story but also so sad 😔❤❤❤❤🇮🇸
50	Mat	Professor Girafales... Dona Florinda...
51	Rafael Prados Barbosa	Vim lhe trazer esse humilde presente
52	Elora 17	Perfect film. Takes us away from the craziness of today …
53	Vangrun	❤️❤️❤️ so beautiful ❤️❤️❤️
54	Elizabeth Mendes	😍😘❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
55	Margarida Truth	Every Christmas, in my childhood we sat to watch this moovie. Many years in a row. My eyes cry missing those free, simple and happy days. Miss my familly members that are not in this realm anymore. Merry Christmas every one out there. Love from Portugal 🇵🇹💖🎅
56	Renato	-Professor Girafales -Dona Florinda
57	Sam	This movie has a grandeur all its own. The score is unforgettable. Who has not found himself humming it, as he goes about his day? The casting is sheer perfection, although I wish Olivia de Havilland were not quite such a milksop. I think I actually like Leslie Howard best, despite being permanently in love with Vivian Leigh. As for Clark Gable, he ceased being Clark Gable after this film was made. He's Rhett Butler, now and forever.
58	Ivan Lussich	I am an Uruguayan senior citizen. I saw this movie 3 times: in my teens, in my forties and in senior age. First two times it did not quite impress me, but last time I was thrilled to see Gable, Leigh and Howard's performances. And the picture overall is fantastic.
59	amour yvette	Great movie, great actors, great music and perhaps a lesson for mankind. Going through with your life’s even there are though things crossing your pad. Hope, trust , believe and love : I think that’s the message of the movie. And never lost faith 😢👼🏻🦋🕊🤍🌹
60	john francis	The music is so evocative bringing the whole sweep of the movie to the listener.
61	Davi Vogel Zimmer	-Professor Girafales? -Dona Florinda!
62	Sandra12	My mother adored this movien and even more Vivien Leigh. She thaught me to love this film as well. And just this day I realized that they had the same birthday, november the 5th🎉 I wish my mother knew. She passed away 2018. But this movie and music reminds me so much of her. 💖
63	Evelyn Hofmann	Greatest Movie ever...watch it every Chance I can...still cry at the ending Because I wanted them Scarlett and Rehett to be together...Fell in love With Mr. Gable at the age of 10 yrs. My daughter is named Tara in honor Of this classic...NEVER NEVER will Tire of this classic....thank you for This video of clips....
64	Lucas Almeida Peixoto	This song is very similar to the wedding song of Professor Girafales and Dona Florinda. In the series Chaves.
65	jona edvards	Best movie ever made ❤️❤️❤️
66	Abandon All Hope.	I think Gerald O’Hara was the wisest man in the series. He was right about everything in the end. Tara is and was the only thing Scarlett ever has and will have after all is said and done.
67	karen hall	I'm sitting at work listening to this and it's such a relaxing piece of music.
68	David Cardone	Frankly my Dear I don't give a Damn!
69	parakeet8157	Epic moments went into the making of an epic classic.
70	Dark Paradise	"Before watching this movie I couldn't answer ""What's your favorite movie?"" . But after watching Gone With The Wind I can say that without any hesitation..."
71	Joe Echo	"I believe this is where Ennio Marricone had his inspiration for ""Once Upon A Time in the West."" But, frankly, my dear? I don't give a damn."
72	Brett Duffy	The Old South seemed like such a romantic time love to live back then but I wouldn't hate it not having air conditioning
73	Your awesome	There is something magical about this film
74	Malcolm Harris	Unquestionably the greatest music score in film history.
75	Bruce1956	One of the great movies. 1939 was a great year for movies.
76	LowRanger	Tara's Theme gives me goose bumps over my entire body. What an inspired composition.
77	坂井潤	世紀の大悲恋物語。
78	Mateus Santos	- Professor Girafales - Dona Florinda - Que milagre o senhor por aqui - Vim lhe trazer este humilde presente - Ah, não quer entrar e tomar uma xícara de café - Não será muito incômodo? - Mas é claro que não, entre - Depois da senhora.
79	elk	And so shall tomorrow be another day, So will we always find another way.
80	Timmy Begley	This is my favourite MOVIE of all Time.
81	Gryfenfer	Rip Vivien Leigh and Clarke Gabble.
82	Vitorio	Não gostaria de entrar e tomar um banhaço de água fria?
83	Tranks	Professor Jirafales!!!!!!
84	Bebe Brez-Kal	Stop destroying our country with your racist bs...there are much worse things happening in this world like ABORTION😪 ...which the left is for...go figure😏....TALK ABOUT SINS 😒
85	Pina Colada	"The best quote I can think of to summarize the movie is this: ""That which Fortune has not given, she cannot take away"" by Seneca, a Stoic philosopher"
86	Jerry Santos	nice theme and actress
87	Morris Ng	2021/07/10 💞
88	Gusutabo-kun	Professor Girafales! Dona Florinda! Que milagre o senhor por aqui! Vim lhe trazer este humilde presente. Não gostaria de entrar para tomar uma xícara de café? Não seria muito incômodo? Claro que não! Queira entrar. Depois da senhora.
89	east sea	타라의 테마는 언제나 나를 10대 시절로 이끈다..오 ..레트., 오 스칼렛!!
90	Movie Part 2	"*Gone with the Wind (1939)* f'u""l'l M'o'V'i""E Original Film in Here ➩ [[ https://is.gd/bFH7AB ]] All Subtitle, High Quality Video 💖🖤❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！ １万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,. 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者， 無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式， 並繼續將其DNA融入不斷發展的人類社會。. 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔， 切塊，調味和慢燉慢燉的野菜和肉類，在食品: todos los subtítulos Tessa se encuentra luchando con su complicada relación con Hardin; se enfrenta a un dilema que podría cambiar sus vidas para siempre. Título después de que chocamos Elenco Josephine Langford, Hero Fiennes Tiffin, Shane Paul McGhie y más ... Países Estados Unidos de Américasrw"
91	Nevada	PROFESSOR GIRAFALES... DONA FLORINDA... QUE MILAGRE O SENHOR POR AQUI...
92	lemon	from someone who plays in the band and understands music ( a little bit), this piece is AMAZING! this piece is a wonderful opening song for a symphony, it’s very beautiful and expresses the whole movie. you can feel every emotion throughout the movie in this piece and it gives me goose bumps. growing up as a band kid i never liked older pieces like this from movies, but now i appreciate it so dearly much.
93	Isa Pons	un classique de film VIVIEN LEIGH splendide actrice comédienne célèbre c est un écrin de beauté
94	Julio Nicolella	Dona Florinda e Professor Girafales.
95	Jack C. DiBenedetto	Theme song for million dollar movie
96	Débora Souza de Oliveira	Esse filme faz parte de minha vida.....
97	Bolt	Would she have behaved right if Ashley Wilkes had, from the start , decided to have her as his lover/bearer of his children? Or would she have made him miserable too...
98	Playcenter	"""Professor Girafales! Dona Florinda..."""
99	Claudia Elizabeth Rojas Orellana	Clark geiboll un galanazo de Hollywood se llamaba rex creo en la película y vivian leigth que era Scarlett ohara fue escogida como entre 200 actrices
100	Claudia Elizabeth Rojas Orellana	Ya fallecieron todos los actores de la película
101	Claudia Elizabeth Rojas Orellana	Sin duda alguna es la una clásica del centro me de Hollywood de corte romántico lo que el viento se llevó , el año pasado murió la última sobreviviente de la película Olivia de havilland ahora ya murieron todos dejan un gran legado
102	gonzaemon h	Best of Tara's Theme in Youtube
103	Darryl Seamans	I never saw this movie, but the theme is iconic. Beautiful
104	hollieollo	One of the very few films where the score actually mimics the great scenes in the film. This film brought home the utter futility of the American Civil war and the endless sadness that war brought, the ramifications of which we still see today. Whoever did the casting, I hope they got an oscar.
105	Austin Berens	Why does this give me chills
106	Rubens Pereira de Melo	tema do melhor filme de todos os tempos musica linda filme maravilhoso
107	LabelBob	Touch this music and you will pay the price. NO! I won’t be “nice” the cancelers will be CANCELED
108	Tamara Penn	Could you please repost your Bleeding Love GWTW video and your Scarlett’s Pokerface video? Those were awesome!
109	Sandy Blue	I did not know the oening musicwas taras theme
110	Spyro and Cynder	I Love scarlet
111	Gustavo Lessa	Dona florinda Professor girafles
112	Nala G. Bunny	Cade os br
113	Honesto Villareal	I'll think about these tomorrow. After all, tomorrow is another day.
114	Ariovaldo Moraes	Muito linda essa música
115	Audrey Ann	One of the best pictures of all time. I'll go watch it now.
116	Halina	🎵PRZEMINĘŁO Z WIATREM. KOCHAM OD ZAWSZE B R A V O POLAND 2020
117	Nevalster	For the Million Dollar Movie on WOR TV Channel 9
118	spelling	so true 😍😍😍
119	Ashley Florença	D O N A F L O R I N D A
120	squiggly line	Tragic movie in a way.
121	Mr data	The good ol days
122	Christina	When my mom passed she left a plaque with a hand painted woman and her husband in a horse wagon that plays the theme my cat loves it so I cranked it up then cranked it up on u tube
123	Felipe Santos	Gostaria de entrar para tomar uma xícara de café?
124	Dee No	The wife of the composer ,Max Steiner, attended our wedding and this song was played while guests were seated. Special song special memory.
125	Elizabeth Kessler	Love🌬💜
126	Leoncino Argentino	Vespa song
127	Andreia Guerrero	There's something about this music that touches my very soul and brings me to tears everytime I hear it.
128	I love movies	I just saw this version of GWTW. The HD is fabulous. well done
129	Lana S	oh I love this movie sooo much!
130	Pamela Pradera Wagner	ESTELAR Y POR SIEMPRE. . . *
131	Christine Mccoach	Nm,uuuuuujyyyy
132	nature freak	Men of the time were usually not clean shaven. Beards were the standard. Men also had longer hair. Sometimes very long.
133	조억현	너무나 서정적 낭만적 아름다운 영화입니다 영원히 길이남을 명작입니다
134	Andre Luiz	Simply, the best film of all>
135	Augh Bable	Vivien Leigh is like Audrey Hepburn, Grace Kelly and Rita Hayworth combined together. That is how much density she personified.
136	Captain Deadeye	RIP Olivia Dehavilland.
137	Young Raines	Another classic - Vivien Leigh & Clarke Gable - they no longer produce such epic movies. The story line is embedded in historical times during the turbulent Civil War era - a very sad part of our history indeed. Vivien Leigh is breathtakingly beautiful. Clarke Gable is such a charming gentleman.
138	sonicgoon Pics	Trump was right bring back ‘Gone with the wind’
139	dick hunter	Greatest grossing movie of all time, and those liberal, leftwing socialist blmers want to ban it. Took my first wife to see it on our first date and we became engaged right then. Forty-seven glorious years with her before the Lord took her home.
140	Robert S. J. Hu	"Aloha Tara's Theme in ""Gone With The Wind"" and EternaLveStory08 !!! Thank you so much for this posting !!!!! I have seen this movie at least 60 times and still can watch it over and over again !!!!!!!!!! This story will live for eternity !!!!!!!!! A grateful fan, Robert S.J. Hu August 11, 2020."
141	Rainer Bandow	Ein Kult Film und das erste mal das eine Farbiege Schauspielerin ein Oska für Ihre Rolle Bekam
142	Johnny Johnson	Dona Florinda!
143	Steve solo.	I have loved watching this magnificent masterpiece of a Hollywood silver screen movie with my mum since I was five years of age iam now fifty years of age God bless Olivia de Havilland and all the magnificent cast and crew who made this film possible RIP.🌹🙏🕊️
144	Caty Cheneval	RIP Melany
145	menukjau	Sad to hear that the last great actress of the golden age of Hollywood have passed away..RIP Olivia!
146	Hengul Barua	R.I.P Olivia de Havilland (1916 - 2020) A great actress who will be greatly missed! 💔
147	Silver Arrow	R.I.P. Olivia de Havilland
148	Marchawc	Farewell Olivia de Havilland, 1 July 1916 - 25 July 2020.
149	Angel Castaneda 98	This month, she celebrated her 104th birthday. And now, she has left us. RIP to the legendary Olivia de Havilland (1916-2020).
150	Alexander Salter	Rest in peace Olivia de Havilland...
151	Linda Qamar	....🎼🎶🌹...musique grandiose ..film sublime et Vivien Leigh (Scarlett) ce rôle lui va comme un gant..c’est une actrice à multiples facettes...elle les incarnent à la perfection...tout simplement divine 🥰🌹🌹🌹. merci 🙏🏼 pour ce beau partage
152	David Johnson	Never forgotten
153	Frank Hogan	My 2nd Favorite Theme After Raise The Titanic (1980)
154	Ron Mead	I'm surprised that You Tube hasn't banned GWTW. I thought it was a Woke organisation!
155	daniel C.	m Mammy was great. No wonder she won an academy award for her part.
156	Barry Etherton	2020 makes you understand why you should own land, that is one thing no one can make more of.
157	AthenaCannon	I had a business trip to Atlanta GA and I heard the Margaret Mitchell’s house was a famous spot. So I went there and took pictures. I didn’t know who’s is Margaret Mitchell, why her house was there, now I think I need to make chance to go to Atlanta again.
158	Joseph Dunlap	Great movie that deserves preservation from the “Woke” Marxists groups!
159	Glen Christenson	WELL WHAT'S CIVILIZATION COMING TOO? B LI ACK LIVES MATTER NO MORE CLASSIC MOVIES BLACK FACE LIL RASCALS ANYTHING TO DO WITH BLACKS! GETTING RID OF FLAGS PAST PRESIDENTS ETC WHAT'S NEXT? STREET SIGNS NO MRE WEARING BLACK CLOTHES BLACK SHOES HAVE WE ALL GONE MAD? DON'T YOU KNOW WE'VE ALL BEEN CREATED IN THE IMAGE OF GOS satan's stirring the POT! AND IS LAUGHING EVERY SECOND WE GO AGAINST ONE ANOTHER! WE'D BETTER FIX THIS OR WE'LL HAVE ANOTHER CIVIL WAR AND THIS TIME NO ONE WILL CARE WHAT RACE YOU'RE? WAKE UP PEOPLE BEFORE IT'S TOO LATE HISTORY DOES REPEAT ITSELF!
160	Michael Brock	Frankly my dear I don't give a damn if this is now labelled racist, it shouldn't be banned.
161	There's A Great Big Beautiful Tomorrow	もし子供ができたなら、この映画は絶対に見せたい
162	M. B. 👸🏻	He loved her so much ....way too much I think
163	Olivia Harlfinger	Hattie McDaniel won an Oscar for her performance in this beautiful movie, now she will be forgotten. How sad!
164	Olivia Harlfinger	The best movie of all time and now it’s being taken away from us. Frankly my dear people, I DO give a dam!
165	John Ossmann	For those of us who grew up in the 1960s and 70s, in the New York/New Jersey area, Channel 9, WOR-TV used this song just before the start of the Million Dollar Movie. Always a great memory of those times.
166	楊吉蒂	My most favorate movies all times
167	Eileen Pollock	This was beautifully done, and the music was for once, appropriate. Every key scene brought back memories of the whole. GWTW is a classic and I hope it will always be shown. I was 9 years old when it first came to the movies in a rerun. I could hardly wait, as I'd read the book in second grade. It kept being rerun over a period of years.
168	Johnny Gainor	I love this, beautifully done ~
169	Michael Hanley	":::Whistle: :: ""Has the War Started?"""
170	R T	Frankly, my dear, there will always be a Gone With The Wind no matter what.
171	Ashley Hallows	I can't believe the Government have now banned Gone with the Wind the world's gone mad and I've had enough !
172	Michael Behan	I have watched this magnificent movie (in my opinion, the greatest movie ever made) more than 15 times and I never get sick of it! As for HBO and the woke wankers who make up the company all I can say is it don’t give a damn’ about your contrived indignation! You are just cowards who buckle at the first sign that some little pissant may get their feelings hurt! Grow some balls and stand up for the 99% of people who see this as a MOVIE! Pathetic losers. I hope you go broke!
173	Shambhala Libertalia Iram	My family kept watching this movie back home years ago via VCD, and today, my brother and I rewatched it again via HBO Max. It is indeed a timeless movie! One of my favorite of all time, along with One Flew Over the Cuckoo's Nest, River Kwai, Lawrence of Arabia, GBU, Once Upon a Time Trilogy, Stanley Kubrick Films, Waterfront, Wonderful Life, Chinatown, Citizen Kane, Casablanca etc.
174	Mark Warner	So am I a racist if I want to watch this film then
175	susan m	A Masterpiece!!! This song is a masterpiece that brought up morals, pride and loyalty, death, repentance courage and forgiveness through the movie Gone With the Wind, A true work of art! No should try retro fit this movie to reflect the year 2020.
176	PSW47	I bought mine a few years back.
177	mkaberli	What, YouTube or google or whomever hasn’t blocked this yet.
178	Truck Camper Canada	Quick, Download before the mob comes for it!
179	Michael Lo	Terrible that this movie cannot be watched anymore on hbo or This lovely song played at Georgia football games. Such a shame.
180	Jeremy Brown	Classic movie and should be protected. History good or bad needs to be.
181	Rem	Georgia on my mind >>>
182	Meadowlark Clawhammer	On 06/19/20, this very song was deemed to be racially insensitive and no longer allowed to be played by marching bands.
183	D.M. Hubble	Replaced by Georgia on My mind??
184	James Knoll	Once a Dawg, Always a Dawg, how sweet it is.... despite UGA ending Tara as a school song
185	Donald Mcauliffe	This is june. 2020 they ban gone with the wind the book and the movie l cant believe it. It be around since 1939
186	FJG	"Scarlett O'Hara: ""I'll think about that tomorrow. Tomorrow is another day."" Well Scarlet, it's today and we are thinking about it. And, we give a damn."
187	Maureen McDonough	My favorite movie of all time
188	Maureen McDonough	My favorite movie of all time
189	Maureen McDonough	My favorite movie of all time
190	Yuaena유애나	So society has deemed this movie too racist...now if I listen to this track on repeat am i racist???
191	Léo de Oliveira	Professor Girafales..... Dona Florinda......
192	Daniel Arick	T.V.s future Superman was in this I don't remember his characters' name but George Reeves had a small part in this classic bit of Hollywood
193	Art	Que milagre o senhor por aqui!😍😍
194	Sonic, the Accursed	Professor Girafales...
195	Luis Felipe	Não gostaria de entrar para tomar uma xícara de café?
196	Cryptonymicus	The only good thing about this film is that it provided a theme song for The Million Dollar Movie lol.
197	Lommy	The best soundtrack, and cinema was still so young.
198	Koichi AKIYAMA	The best cinema in the history. Is it this one maybe, or Ben-Hur?
199	Richard Clifford	Today's movies ain't got the same soul as the old classics!
200	Virginia Chapman	My mothers favorite movie of all time. RIP JEAN WILKINSON of Bay City Texas born 3/20/1835 died 5/72013 . You fought a vallient battle with breast cancer.. Love you and miss you, your only child Booger
201	raulpr777	"Is ""Tara"" a reference to the Hill of Tara from Ireland? In the movie her father is from Ireland."
202	Rose flower	Vevian Leagh's beauty..!!!!!👌👌💓💓💓💓💓💓💓💓💓
203	Alisha	🔘 Latest and most complete movie collection 👉: numberone313movies.blogspot.com/ ===================================================== Adunay mga sine Gitugotan niini ang mga salida nga ipanghatag sa halos
204	Albert12324	This movie is incredible.
205	Kim G	Just watched GWTW yesterday for the first time! I loved it, but really those words don't capture how I feel about it. It was beautiful. Especially the music.
206	Pkoswald	To think, this guy went from making trash like this to composing the legendary hotel Mario theme. What a champ
207	mary alice webberking	Among the great
208	James Palmer	I shall never plant another carrot.
209	icyhugs	"""Why, land is the only thing in the world worth working for, worth fighting for, worth dying for, because it's the only thing that lasts ""God as my witness, I shall never be hungry again!"" ""Frankly My Dear, I don't give a damn!"" So many great lines from this classic!"
210	Matheus Riquelme	O que vem na minha cabeça ☕💐 #Elchavodel8
211	sierra rustad	Some days I wish I could have experienced the golden years of Hollywood. Go to the theaters and watch masterpieces like this. I love the present but something about that time in Hollywood is something unique altogether.
212	Son Hm	l still miss
213	Pankaj Shah	Argubly one of the finest n greatest movie if all time, though released in 1939 stll looks fresh as if today.Written by Margaret Mitchell,directed by Victor Fleming n xllant n touchy composition of great Max Steiner.Perhaps the debut movie of Vivian Leigh.Clark Gable n Olivia De Havilland are superb.Must watch as all in one.💐💐💐
214	Harold Kay	I think they should use this during narration of the news
215	Br Alan Parham	One summer I read the book. Then I went to Atlanta with some friends. I think I was hearing the score in my head the whole time.
216	Ray	Instead of stuyding for my exam tomorrow, I'm listening over and over to this. After all, tomorrow will be a new day!
217	Xopxe Lope	Simply the best!
218	謎姫	まだ本作を通しで見た事は無いが、このテーマ曲だけは、幼少の時から知っている程の名曲。
219	Joshua Ortiz	Tara is a place not a persons name thus it is not apostrophed. It is The Tara Theme.
220	Warren Putnam	All right low-key I kind of want this to be my first dance song at my wedding
221	Donald Mcauliffe	Jan 2020 a friend of my got me the book gone with the wind for Christmas l am half done with it the book is better than the movie was l saw the movie gone with the wind for firsr time on the big screen in 1980 in new York city
222	SightSeer	If we Make America Great Again, we will return to those sweet days of chivalry and refinefment, where everyone knew their place.
223	Donald Mcauliffe	I remember in 1980 in new york city l got to see gone with wind on the big screen
224	easy street	I feel sorry for the 178 people who did not like this as i vote it up.
225	JoJo Joestar	Chaves
226	Shiine (VHF CH.10)	0:42-1:03 A segment where a Japanese TV channel used in its ancient sign-on back in 1970.
227	Niamh HA	I was born in 2003 and even I feel nostalgic😂.
228	elena stoica	Și mîine e o zi..🥀💎🎹🎼🔝❤️🌠💋💋🌠❤️🔝🎼💎💎💎💎💎
229	vonstolzing1	Me importa un bledo. Mañana será otro día.
230	Teena	One of the best movies.. ever.. 🙏🏻🙏🏻🔝🔝♥️♥️
231	Antonio Pinto	Um dos temas mais bonitos do cinema, num dos filmes mais espetaculares de sempre. Elenco formidável.
232	Michael Behan	My grandmother, who died about 20 years ago, first saw this when it was released in 1939. Her and I both watched it on DVD with sound blaring through the surround sound system. It was like she had been transported back to her first viewing. Since then I have worn out two copies of the DVD and have the sealed anniversary edition (with another for me to watch)! One of the greatest movies ever made!
233	97kos	Love this theme so much! Maybe, when I will have more time, I will see from beginning till the end this movie 💕 With beginning, 2:35 to 3:04 is the best part!
234	José Paes	Mas não seria muito encomodo?
235	Tara Tsuchida	My name is Tara. Thanks, Gone With The Wind.
236	The One Who Knocks.	Frankly my dear, Butler didn’t giv a FuC. Said so himself.
237	細井由美	ビビアン・リーが屋敷のグリーンのカーテンでドレスを作るシーンをやけに鮮明に覚えています。小学生には愛の何たるかは理解できませんでしたが、夕陽の中に立つスカーレット・オハラは美しかった
238	Julio Villlegas	No he visto mejor película que esta......y dudo hagan una que la supere.......
239	Howard Lee	언제 들어도 시원하고 감명을 주네요. 감사합니다,
240	Vanguarded_Heart 117	There will never be movies like this again. There won't be anymore inspiring writers or screen adaptors in Hollywood anymore.
241	Jimmy O'Sullivan	For my beautiful for Auntie Eilish and her wonderful daughter Tara.
242	patrick ryan	Wonderful movie, wonderful music; wonderful players. This movie though MUST be seen on the big screen (that is in a movie theater). 7/2019
243	Sharon Fain	I love this First time I saw it was a theater in New York of all places Lol I’ve never stopped watching I’m hooked on it an got my now 26 years old granddaughter as crazy about it as I am . The book has more detail but no one could replace these characters I see them when I read it . I read it once a year in the winter the movie all the time . Grand old beautiful south!
244	unstoppableExodia	I know this music through a light hearted satirical series called Star stories that repurposed it to be its theme music. I discovered by chance that it's actually from gone with the wind
245	Tadeu Teodosio	Dona porcaria ......
246	José Paes	Professor Girafales
247	TheBoomhahaha	"""Why, land is the only thing in the world worth workin' for, worth fightin' for, worth dyin' for, because it's the only thing that lasts."""
248	Danny Luo	Is it just me or this score always makes me cry?
249	Buteco dos Mequetrefe	- Professor Girafales... - Dona Florinda... - Que milagre o senhor por aqui. - Vim lhe trazer este humilde presentinho. - Oh! Mas não quer entrar pra tomar uma xícara de café? - Não seria muito incômodo? - Oh! De maneira nenhuma! Queira entrar... - Depois da senhora...
250	Mes Marriott	So poignant .
251	enrique brun	Radio Orquestada FM, música instrumental gratis y sin publicidad. orquestadafm.com Te esperamos!
252	philip norris	An all-time classic, even though I don't agree with the sentiments; as in 1939, so in 2019.
253	Anna L. Vajda	I could recite this backwards and forwards when I was 10. Still can.
254	Michael James	That Viktorian age and the rules
255	Kendall2001	I first saw this movie on TV in the 1970s but then I was fortunate enough that when I went to visit my relatives in Colombia, we found a beautiful theater with a big screen which was showing Gone With The Wind. I went to see it with my cousin. I was about 11 and she was about 15 and we enjoyed the movie very much.
256	Juan Pedro Robotop	Wonder foolish !
257	RossKroft96	Hi I'm Joyce television for women
